No.,Timecode In,Timecode Out,Subtitle
"1","00:00:21:08","00:00:23:17","[밝은 음악]"
"2","00:00:47:22","00:00:49:03","[병아리 울음 효과음]"
"3","00:00:50:00","00:00:51:22","[병아리 울음 효과음]"
"4","00:00:56:03","00:00:57:21","[새소리]"
"5","00:00:58:15","00:01:00:04","[즐거운 음악]
[슥슥 그리는 소리]"
"6","00:01:00:23","00:01:03:04","[슥슥 그리는 소리]"
"7","00:01:05:13","00:01:06:13","[달그락거리는 소리]"
"8","00:01:14:01","00:01:15:17","[슥슥 그리는 소리]
[달그락거리는 소리]"
"9","00:01:19:06","00:01:22:03","허동구, 한쪽 눈은 뜨는 거야"
"10","00:01:22:05","00:01:24:10","[학생들의 웃음]"
"11","00:01:25:03","00:01:26:21","[학생들이 계속 웃는다]
[탁탁 책상 치는 소리]"
"12","00:01:30:13","00:01:31:24","[웃음]"
"13","00:01:32:17","00:01:35:04","[학교 종소리]
[달칵 문이 열린다]
[학생들의 소란스러운 소리]"
"14","00:01:35:23","00:01:37:13","[흥미진진한 음악]"
"15","00:01:46:12","00:01:47:18","[학생들이 시끌벅적하다]"
"16","00:01:47:20","00:01:49:13","(학생1) 아, 나와 봐, 나와 봐
나와 봐"
"17","00:01:49:15","00:01:50:16","(학생1과 2) 비키라고"
"18","00:01:50:18","00:01:51:18","(학생3) 아, 비켜"
"19","00:01:51:20","00:01:53:08","[유쾌한 음악]"
"20","00:02:11:19","00:02:13:06","[학생4의 힘겨운 신음]"
"21","00:02:13:08","00:02:15:00","- (학생4) 얘가 또 1등이네
- (학생5) 아, 배 아파"
"22","00:02:15:19","00:02:17:15","(학생6) 너희 반 물 당번은 없냐?"
"23","00:02:18:01","00:02:19:17","(학생6) 왜 맨날 너야?"
"24","00:02:22:00","00:02:23:01","[달그락거리는 소리]"
"25","00:02:23:17","00:02:26:00","응, 동구 맨날 물 반장
[물이 출렁인다]"
"26","00:02:29:04","00:02:31:11","[뛰어가는 발소리]"
"27","00:02:32:20","00:02:34:21","(학생7) 물 반장, 여기 물 좀 줘"
"28","00:02:34:23","00:02:36:08","[교실이 시끌벅적하다]"
"29","00:02:37:03","00:02:38:10","(학생8) 물 반장, 물!"
"30","00:02:38:12","00:02:39:17","(학생9) 나도 물"
"31","00:02:40:15","00:02:42:06","(학생10) 야, 왜 내 거 따라?"
"32","00:02:42:08","00:02:44:15","(학생8) 이리 와! 진짜"
"33","00:02:45:14","00:02:46:16","(학생11) 물 반장, 나도 물 좀 줘"
"34","00:02:46:18","00:02:48:16","- (학생12) 여기도
- (학생13) 나도"
"35","00:02:49:13","00:02:50:13","- (학생14) 이리 와, 이리
- (반장) 야!"
"36","00:02:51:22","00:02:53:16","[교실이 시끌벅적하다]
[학생15의 당황한 탄성]"
"37","00:03:00:23","00:03:02:01","(학생16) 야, 물 반장, 이쪽"
"38","00:03:04:07","00:03:05:07","(민수) 아자!"
"39","00:03:05:23","00:03:06:23","[학생들의 웃음]"
"40","00:03:08:15","00:03:09:15","[동구의 힘주는 신음]"
"41","00:03:11:01","00:03:12:03","짝! 물"
"42","00:03:13:00","00:03:14:02","[물이 출렁인다]"
"43","00:03:21:01","00:03:23:05","[동구가 흥얼거린다]"
"44","00:03:25:14","00:03:26:17","(동구) 짝, 짝!"
"45","00:03:27:17","00:03:28:17","(동구) 짝!"
"46","00:03:29:17","00:03:30:17","(준태) 따라오지 마"
"47","00:03:31:03","00:03:32:03","(동구) 짝"
"48","00:03:32:10","00:03:33:18","(준태) 따라오지 말라고!"
"49","00:03:34:01","00:03:35:01","(동구) 짝"
"50","00:03:35:09","00:03:36:09","(준태) 난 너 싫어"
"51","00:03:37:10","00:03:41:02","네가 물 주는 것도 싫고
너랑 짝하는 것도 싫어"
"52","00:03:42:23","00:03:45:07","너, 나한테 물 주지 마"
"53","00:03:47:16","00:03:48:16","허동구"
"54","00:03:49:09","00:03:50:20","넌 자존심도 없냐?"
"55","00:03:53:12","00:03:54:12","꺼져"
"56","00:03:55:01","00:03:57:04","꺼져 버리란 말이야, 이 자식아!"
"57","00:04:03:17","00:04:05:09","[평화로운 음악]"
"58","00:04:07:24","00:04:09:14","[흥얼거린다]"
"59","00:04:12:00","00:04:13:06","[동구가 흥얼거린다]"
"60","00:04:36:19","00:04:37:19","[인부의 힘겨운 숨소리]"
"61","00:04:38:10","00:04:39:19","야, 인마, 너 거기로 오면 어떡해?"
"62","00:04:40:01","00:04:41:01","[왈왈 개가 짖는다]"
"63","00:04:41:03","00:04:42:03","(인부) 야"
"64","00:04:43:18","00:04:44:18","[인부의 옅은 한숨]"
"65","00:04:46:18","00:04:47:18","(광식) 어, 사장님"
"66","00:04:48:19","00:04:51:04","아이, 뭔 닭집에서 닭을 시켜요?"
"67","00:04:51:06","00:04:52:06","(진규) 너 여기 웬일이냐?"
"68","00:04:52:11","00:04:53:23","아이, 저, 미나 아빠가 저…"
"69","00:04:54:01","00:04:55:15","우리 집 가게에서
닭을 한 마리 시켜서요"
"70","00:04:55:24","00:04:56:24","12,000원입니다"
"71","00:04:57:04","00:04:58:16","(진규) 시킨 사람한테 받아, 자식아"
"72","00:04:59:14","00:05:02:13","(광식) 사장님, 저 미나 아빠
돈 없는 거 뻔히 아시잖아요? 주세요"
"73","00:05:02:15","00:05:04:22","나 못 줘, 우리 집 닭 한 마리 가져가"
"74","00:05:04:24","00:05:05:24","(광식) 예?"
"75","00:05:06:17","00:05:07:19","(광식) 사장님!"
"76","00:05:07:21","00:05:09:20","어? 진규야, 이리 와 봐
[덜컹 문이 닫힌다]"
"77","00:05:11:01","00:05:12:15","(상철) 먹어 봐
[오토바이 엔진음]"
"78","00:05:13:22","00:05:16:03","(상철) 일단 한번 먹어 봐"
"79","00:05:17:00","00:05:18:00","[달그락거리는 소리]"
"80","00:05:19:09","00:05:20:01","맛있지?"
"81","00:05:21:03","00:05:22:16","매워서 맥주는 잘 팔리겠네"
"82","00:05:23:13","00:05:26:16","(상철) 맥주만 잘 팔려?
닭은 더 잘 팔려"
"83","00:05:26:18","00:05:29:04","요새 이 집 손님 미어터진다
[진규가 봉지를 부스럭거린다]"
"84","00:05:29:09","00:05:31:05","(상철) 이런 게 시너지라는 거야"
"85","00:05:31:21","00:05:33:07","그럼 그 집 가서 일해라"
"86","00:05:34:11","00:05:37:02","[비닐 부스럭거리는 소리]
아빠, 시너지가 뭐야?"
