No.,Timecode In,Timecode Out,Subtitle
"1","00:00:27:24","00:00:30:00","[경쾌한 음악]"
"2","00:00:34:01","00:00:35:19","(동욱)
우리 집엔 네 식구가 산다"
"3","00:00:36:10","00:00:39:07","첫 번째는 아침 드라마에
빠진 평범한 엄마"
"4","00:00:39:15","00:00:40:18","음, 뽀뽀"
"5","00:00:40:20","00:00:42:18","(동욱)
가끔 길거리에서
이상한 행동을 한다"
"6","00:00:42:20","00:00:44:07","[경박한 웃음]"
"7","00:00:44:09","00:00:46:00","(동욱)
항상 나를 보면 웃는 얼굴이지만"
"8","00:00:46:02","00:00:47:00","야!"
"9","00:00:47:16","00:00:48:23","(동욱)
내 성적표를 보거나"
"10","00:00:49:00","00:00:50:01","최동욱!"
"11","00:00:50:15","00:00:52:12","(동욱)
내 싸움에 대한 결과를 듣거나"
"12","00:00:52:22","00:00:55:08","내가 고스톱을 잘못 칠 땐
돌변해 버린다"
"13","00:00:57:03","00:00:59:07","그래도 이 모습은 항상 인상적이다"
"14","00:01:01:18","00:01:03:08","두 번째는 문제 있는 나"
"15","00:01:03:10","00:01:04:20","[카메라 셔터음]"
"16","00:01:04:22","00:01:07:05","세 번의 전학, 네 개의 학생증"
"17","00:01:07:16","00:01:09:00","수십 장의 서약서"
"18","00:01:10:09","00:01:12:07","항상 애들이 먼저 싸움을 걸어온다"
"19","00:01:12:20","00:01:14:15","니 아빠도 짱이었냐? 어?"
"20","00:01:14:23","00:01:15:20","함 붙자"
"21","00:01:16:00","00:01:17:17","(동욱)
그럼? 싸워야지"
"22","00:01:18:19","00:01:19:16","(불량학생)
개 아빠!"
"23","00:01:20:04","00:01:21:19","(동욱)
요즘은 참으려고 노력 중이다"
"24","00:01:24:15","00:01:27:21","세 번째는 아빠의 중국 친구 아들
짜오밍 형"
"25","00:01:28:23","00:01:30:08","여자 친구도 있고"
"26","00:01:30:13","00:01:32:24","- 대학생이라고 유세다
- '이, 얼, 싼' 후!"
"27","00:01:33:07","00:01:34:04","[카메라 셔터음]"
"28","00:01:34:06","00:01:35:07","(동욱)
처음엔 엄마의 부탁으로"
"29","00:01:35:09","00:01:36:21","중국어 선생님이었지만"
"30","00:01:38:02","00:01:39:01","아, 청단을 내야..."
"31","00:01:39:04","00:01:41:04","(동욱)
지금은 엄마와 나를 싸우게 만든다"
"32","00:01:42:09","00:01:43:18","가끔은 형 노릇도 하면서"
"33","00:01:43:20","00:01:44:17","동욱아"
"34","00:01:44:22","00:01:45:21","들어가자"
"35","00:01:49:01","00:01:50:05","(동욱)
마지막으로"
"36","00:01:50:07","00:01:51:21","아빠의 선물 마음이"
"37","00:01:53:22","00:01:55:04","이 녀석을 보면 아빠 생각이 난다"
"38","00:01:55:07","00:01:56:22","(동욱)
마음아, 마음아
물어와, 물어와"
"39","00:01:56:24","00:01:59:17","[마음이가 짖는다]
내 장난감이자 친구이자"
"40","00:01:59:19","00:02:01:16","내 공부를 방해하는 이 녀석이"
"41","00:02:01:18","00:02:02:24","벌써 세 살이네"
"42","00:02:04:06","00:02:06:11","그런데 너무 어린 나이에
엄마 되는 거 아닌가?"
"43","00:02:07:16","00:02:08:20","[밝은 음악]
(동욱)
엄마, 엄마!"
"44","00:02:08:22","00:02:10:16","- 엄마, 어떡해, 어떡해, 엄마
- (엄마) 왜, 왜?"
"45","00:02:10:18","00:02:12:02","(엄마)
어떡해! 오, 어떡하니, 어떡하니"
"46","00:02:12:04","00:02:13:17","- (동욱) 나오려나 봐
- (엄마) 어떡해"
"47","00:02:15:00","00:02:16:01","(엄마)
마음아"
"48","00:02:16:03","00:02:17:10","아, 어떡해"
"49","00:02:18:13","00:02:20:14","[밝은 음악]"
"50","00:02:23:06","00:02:24:12","[낑낑거린다]"
"51","00:02:33:03","00:02:34:16","[낑낑거린다]"
"52","00:02:39:08","00:02:40:06","아우, 정말!"
"53","00:02:44:20","00:02:46:08","[그르렁거린다]"
"54","00:02:46:10","00:02:47:13","(짜오밍)
가만히 있어"
"55","00:02:47:15","00:02:49:06","(동욱)
싫어도 어쩔 수 없어
[낑낑거린다]"
"56","00:02:51:03","00:02:52:19","[짜오밍의 웃음]"
"57","00:02:53:13","00:02:54:11","(동욱)
왜"
"58","00:03:05:17","00:03:06:23","아우, 참"
"59","00:03:07:08","00:03:08:08","아으! 정말!"
"60","00:03:10:19","00:03:11:20","야!"
"61","00:03:12:11","00:03:13:19","[환호성]"
"62","00:03:14:11","00:03:16:00","- (동욱) 달려가자
- (짜오밍) 워어어"
"63","00:03:17:14","00:03:18:23","(엄마)
읏차"
"64","00:03:19:15","00:03:20:12","[한숨]"
"65","00:03:22:12","00:03:24:14","[편안한 음악]"
"66","00:03:29:14","00:03:31:07","빨리, 빨리, 빨리 와"
"67","00:03:32:08","00:03:33:24","(동욱)
사진 찍자"
"68","00:03:36:04","00:03:37:07","[카메라 셔터음]"
"69","00:03:45:18","00:03:47:18","[밝은 음악]"
"70","00:03:56:05","00:03:58:14","(수의사1)
아휴, 작아서 어떡하냐, 장군아"
"71","00:03:58:16","00:04:01:02","에휴, 먹보랑 도도는
쑥쑥 자라는데"
"72","00:04:01:04","00:04:02:21","[한숨]
잘 자랄 수 있을까요?"
"73","00:04:02:23","00:04:05:09","좀 비켜줘라
마음이 보고 싶어 한다"
"74","00:04:05:11","00:04:06:17","아, 예
[마음이가 짖는다]"
"75","00:04:06:19","00:04:07:24","(수의사1)
그만 짖어"
"76","00:04:08:02","00:04:09:01","[수의사1과 동욱의 웃음]"
"77","00:04:09:06","00:04:10:19","(수의사1)
알았어, 살살할게"
"78","00:04:11:17","00:04:13:20","새끼 중에 유독 작은 애들이 있어"
"79","00:04:13:24","00:04:15:13","음, 막내라 그러는데"
"80","00:04:16:05","00:04:18:08","지금 영양 상태
그렇게 나쁜 건 아니니까"
"81","00:04:18:10","00:04:20:01","이 시기만 잘 버티면"
"82","00:04:20:03","00:04:22:08","다는 아니어도
90%까지는 비슷해져"
"83","00:04:23:00","00:04:24:04","지금이 중요하다"
"84","00:04:25:20","00:04:28:00","마음이가 장군이 유독 챙기지?"
"85","00:04:28:07","00:04:30:19","- 네
- 약한 새끼 기다려 주는 건"
"86","00:04:30:21","00:04:32:09","개하고 인간밖에 없다니까"
"87","00:04:32:15","00:04:34:05","저희가 할 일은 없어요?"
"88","00:04:34:12","00:04:37:03","음, 좀 힘들어도
계속 잘 먹여야지"
"89","00:04:37:05","00:04:38:20","마음이가 더 잘 알겠지"
"90","00:04:39:16","00:04:41:03","아, 잠깐 따라와 볼래?"
"91","00:04:41:21","00:04:43:08","약하고 영양제 챙겨줄게"
"92","00:04:59:18","00:05:01:01","[동욱이 숨을 내쉰다]"
"93","00:05:03:02","00:05:04:22","동욱이, 이리 와봐"
"94","00:05:06:22","00:05:08:01","아줌마"
"95","00:05:08:03","00:05:09:16","제가 동물 병원에 가자고..."
"96","00:05:09:18","00:05:10:22","짜오밍은 올라가고"
"97","00:05:20:13","00:05:22:06","[종이를 팍 찢는다]"
"98","00:05:22:13","00:05:23:21","이제 이런 거 쓸 필요 없어"
"99","00:05:25:00","00:05:26:07","오늘 선생님하고 전화했다"
"100","00:05:27:00","00:05:28:15","[짜증 내며]
아, 왜 학교에 전화를 해!"
"101","00:05:29:22","00:05:31:18","선생님께서 먼저 하셨어"
"102","00:05:32:19","00:05:33:16","너"
"103","00:05:33:18","00:05:36:00","자율 학습
한 번도 한 적 없다면서?"
"104","00:05:37:13","00:05:39:02","마음이 때문에
그렇다는 얘기는 하지 마"
"105","00:05:39:04","00:05:40:22","[신경질 내며]
(엄마)
성적은 점점 떨어지는데"
"106","00:05:40:24","00:05:42:23","주말이면
마음이 데리고 놀러 나가고"
"107","00:05:44:02","00:05:45:10","자율 학습 땡땡이치고"
"108","00:05:46:00","00:05:46:24","이러면서도"
"109","00:05:48:01","00:05:49:07","엄마가 너무하는 거니?"
"110","00:05:50:10","00:05:51:06","가만히 있어!"
"111","00:05:51:24","00:05:52:22","[기죽은 듯 끙끙거린다]"
"112","00:05:54:17","00:05:55:20","잘할게요"
"113","00:05:57:22","00:05:59:18","데려다 키워줄 사람 알아보고"
"114","00:05:59:20","00:06:00:17","아니면"
"115","00:06:00:22","00:06:02:23","유기견 센터 보낼 거니까
그렇게 알아"
"116","00:06:03:06","00:06:05:08","안락사시킨다고 엄마도 들었잖아!"
"117","00:06:05:11","00:06:07:12","너 대학가는 게 더 중요해"
"118","00:06:07:14","00:06:09:13","아빠가 주고 가신 거잖아!"
"119","00:06:09:15","00:06:10:18","최동욱"
"120","00:06:10:20","00:06:11:24","아이..."
"121","00:06:12:22","00:06:13:21","너"
"122","00:06:14:20","00:06:16:21","[울먹이며]
꼭 이럴 때만 아빠 얘기 하더라?"
"123","00:06:19:13","00:06:20:14","아빠도"
"124","00:06:21:14","00:06:23:21","엄마랑 같은 말씀 하셨을 거야"
"125","00:06:33:02","00:06:33:24","[한숨]"
"126","00:06:34:01","00:06:35:23","[차분한 음악]
(학부모)
아니, 이게 말이 되냐고요"
"127","00:06:36:08","00:06:38:15","우리 애가 개를
뭐 어떻게 할 거처럼 얘기했다는데"
