No.,Timecode In,Timecode Out,Subtitle
"1","00:00:54:15","00:00:56:15","[뛰어가는 발걸음]"
"2","00:00:57:24","00:00:59:04","[어린 초원이 혀를 드르르 떤다]"
"3","00:00:59:06","00:01:03:01","(초원)
아프리카 세렝게티 초원에는"
"4","00:01:03:24","00:01:07:07","수십만 마리의 초식 동물들이"
"5","00:01:07:16","00:01:11:02","무리를 지어 살고 있습니다"
"6","00:01:13:21","00:01:17:04","(초원)
해마다 동물들은 짝짓기를 하고"
"7","00:01:17:15","00:01:19:17","새끼를 낳습니다"
"8","00:01:21:00","00:01:25:02","저기 갓 태어난 새끼와 함께 있는"
"9","00:01:25:12","00:01:28:16","어미 얼룩말이 보이는군요"
"10","00:01:29:10","00:01:31:14","(초원)
이제 새끼에게"
"11","00:01:31:16","00:01:36:24","야생에서 살아남는 법을
가르칠 것입니다"
"12","00:01:38:10","00:01:40:08","[풀벌레 울음]"
"13","00:01:40:17","00:01:43:09","(초원)
야생에서 살아남는다는 것은"
"14","00:01:43:11","00:01:44:08","(경숙)
초원아"
"15","00:01:44:10","00:01:46:00","(초원)
물론 쉬운 일이 아닙니다"
"16","00:01:46:02","00:01:47:04","(경숙)
이리로 못 가, 돌아가야 돼"
"17","00:01:48:04","00:01:50:18","[어린 초원이 울부짖는다]
(초원)
새끼들 주변에는"
"18","00:01:50:20","00:01:51:20","(경숙)
이리로 못 가, 돌아 가"
"19","00:01:51:22","00:01:55:07","(초원)
많은 위험이 도사리고 있지요"
"20","00:01:55:09","00:01:56:17","(경숙)
이리로 못 간다니까!"
"21","00:01:56:21","00:01:57:17","[어린 초원이 울부짖는다]"
"22","00:01:57:19","00:01:59:01","[비가 쏴 내린다]
[천둥이 우르릉 친다]"
"23","00:01:59:04","00:02:01:24","(경숙)
아니야, 착해
초원이 엄마 말 잘 들어"
"24","00:02:02:02","00:02:03:23","(경숙)
자, 이거 한 번 더 먹어야
[어린 초원이 투정한다]"
"25","00:02:04:01","00:02:05:08","엄마가 초원이가
사달라는 것도 사 줘"
"26","00:02:05:10","00:02:07:06","(경숙)
[언성을 높이며]
한 번만 좀 먹으라니까"
"27","00:02:07:12","00:02:09:07","[어린 초원이 투정한다]"
"28","00:02:10:04","00:02:11:06","(경숙)
아, 진짜..."
"29","00:02:13:00","00:02:14:11","[경숙의 한숨]"
"30","00:02:14:13","00:02:15:16","[문이 달칵 여닫힌다]"
"31","00:02:19:15","00:02:20:21","(경숙)
초원아"
"32","00:02:21:07","00:02:22:09","이게 뭐야?"
"33","00:02:23:16","00:02:24:11","어?"
"34","00:02:26:03","00:02:27:08","(경숙)
'비'"
"35","00:02:27:24","00:02:29:08","따라 해봐, '비'"
"36","00:02:32:03","00:02:33:17","엄마 따라서 해 봐, '비'"
"37","00:02:34:22","00:02:36:14","'비가 주룩주룩 내려요'"
"38","00:02:38:04","00:02:39:07","[경숙의 한숨]"
"39","00:02:39:12","00:02:40:14","(경숙)
이게 뭐야?"
"40","00:02:40:18","00:02:41:20","'비'"
"41","00:02:42:06","00:02:43:11","따라 해 봐, '비'"
"42","00:02:44:07","00:02:46:01","'비가 주룩주룩 내려요'"
"43","00:02:47:01","00:02:48:10","[어린 초원이 옹알거린다]"
"44","00:02:48:12","00:02:50:07","'비가 주룩주룩 내려요'"
"45","00:02:50:12","00:02:52:02","따라 해 봐, '비'"
"46","00:02:52:04","00:02:54:03","[어린 초원이 옹알거린다]
'비가 주룩주룩 내려요'"
"47","00:02:55:22","00:02:56:24","(경숙)
어서 말해"
"48","00:02:57:08","00:02:58:15","너, 왜 말 못 해?"
"49","00:02:58:18","00:02:59:22","너 벙어리 아니잖아"
"50","00:03:00:05","00:03:02:00","'비가 주룩주룩 내려요'"
"51","00:03:03:04","00:03:05:04","[경숙의 답답한 한숨]"
"52","00:03:07:23","00:03:09:18","[천둥이 우르릉 친다]"
"53","00:03:09:20","00:03:12:03","[슬픈 음악]
[문이 쾅 닫힌다]"
"54","00:03:12:06","00:03:13:05","(초원)
하지만"
"55","00:03:13:07","00:03:14:09","[어린 초원이 혀를 드르르 떤다]"
"56","00:03:14:11","00:03:17:03","(초원)
세렝게티 초원은 분명"
"57","00:03:17:05","00:03:23:04","(초원)
이제 지구상에 얼마 남지 않은
야생 동물들의 천국입니다"
"58","00:03:23:10","00:03:25:14","[어린 초원이 혀를 드르르 떤다]
[천둥이 우르릉 친다]"
"59","00:03:33:16","00:03:36:18","(초원)
어미들은 그 안에서 자유롭게"
"60","00:03:36:21","00:03:41:16","새끼들에게
풀을 뜯고 달리게 할 수 있지요"
"61","00:03:44:08","00:03:46:02","(초원)
먼 옛날에는"
"62","00:03:46:10","00:03:50:16","지구 전체가
그러했겠지만 말입니다"
"63","00:04:13:08","00:04:14:23","(의사1)
커다란 개가"
"64","00:04:15:16","00:04:17:09","초원이를 쫓아오고 있어"
"65","00:04:18:14","00:04:22:08","커다란 개가 쫓아올 때
초원이 기분이 어떨까?"
"66","00:04:24:01","00:04:25:09","(의사1)
기쁠까?"
"67","00:04:26:19","00:04:28:00","슬플까?"
"68","00:04:28:18","00:04:31:06","화가 날까? 겁이 날까?"
"69","00:04:31:10","00:04:32:10","[경숙이 어린 초원을 나무란다]"
"70","00:04:32:13","00:04:35:08","(의사1)
초원이 아빠가 멀리 여행을 가
[희근이 소리친다]"
"71","00:04:35:11","00:04:38:03","아빠가 여행 갈 때
초원이 기분이 어떨까?"
"72","00:04:39:09","00:04:40:18","기쁠까?"
"73","00:04:41:15","00:04:42:24","슬플까?"
"74","00:04:43:18","00:04:46:23","화가 날까? 겁이 날까?"
"75","00:04:48:03","00:04:50:08","(의사1)
엄마가 아파서 병원에 있어"
"76","00:04:51:10","00:04:53:21","엄마가 아프면
초원이 기분이 어떨까?"
"77","00:04:55:00","00:04:56:16","기쁠까?"
"78","00:04:58:02","00:04:59:09","슬플까?"
"79","00:05:01:13","00:05:02:23","화가 날까?"
"80","00:05:05:09","00:05:06:17","겁이 날까?"
"81","00:05:23:00","00:05:25:24","(의사1)
자폐증은 병이 아니라 장애입니다"
"82","00:05:26:01","00:05:27:01","[어린 초원이 혀를 드르르 떤다]"
"83","00:05:27:04","00:05:29:16","(의사1)
즉, 약이나 수술로
고칠 수 있는 게 아니라는 말이죠"
"84","00:05:30:12","00:05:32:22","감정 표현과 의사소통이 잘 안돼서"
"85","00:05:33:08","00:05:34:23","사회생활 하기 힘들어요"
"86","00:05:35:18","00:05:38:03","(의사1)
무엇보다 사람들과
어울릴 수 없는 게"
"87","00:05:38:09","00:05:40:02","이 장애의 가장 큰 문제죠"
"88","00:05:41:19","00:05:44:16","그래서 가족들이 더 지쳐요"
"89","00:05:45:00","00:05:47:00","[동물원 안이 시끌벅적하다]"
"90","00:05:49:04","00:05:50:15","- (희근) 왜 그래?
- (경숙) 우리 초원이"
"91","00:05:50:17","00:05:51:22","우리 초원이가 없어졌어, 어떡해"
"92","00:05:51:24","00:05:52:24","(희근)
뭐?"
"93","00:05:53:07","00:05:54:13","[경숙이 흐느낀다]"
"94","00:05:54:18","00:05:55:21","(경숙)
초원아!"
"95","00:05:57:07","00:05:58:13","초원아!"
"96","00:06:01:15","00:06:02:24","(희근)
초원아!"
"97","00:06:05:12","00:06:06:17","(경숙)
초원아!"
"98","00:06:07:15","00:06:09:22","[천둥이 우르릉 친다]
[어린 초원이 혀를 드르르 떤다]"
"99","00:06:12:08","00:06:13:22","[어린 초원이 혀를 드르르 떤다]"
"100","00:06:19:17","00:06:21:11","[어린 초원이 혀를 드르르 떤다]"
"101","00:06:26:05","00:06:28:09","[어린 초원이 혀를 드르르 떤다]
(경숙)
아, 초원아"
"102","00:06:28:22","00:06:30:02","[경숙이 흐느낀다]"
"103","00:06:34:08","00:06:35:14","[어린 초원이 혀를 드르르 떤다]"
"104","00:06:35:16","00:06:36:21","(경숙)
어, 그래"
"105","00:06:36:23","00:06:38:20","[잔잔한 음악]"
"106","00:06:38:22","00:06:40:15","(경숙)
우리 오래오래 같이 살아"
"107","00:06:41:07","00:06:42:04","응?"
"108","00:06:45:03","00:06:46:13","죽을 때까지"
"109","00:06:46:15","00:06:48:09","[어린 초원이 혀를 드르르 떤다]"
"110","00:06:57:13","00:06:58:19","[어린 초원이 혀를 드르르 떤다]"
"111","00:06:58:21","00:07:00:11","[어린 초원이 웅얼거린다]"
"112","00:07:00:13","00:07:02:19","[혀를 연신 드르르 굴린다]"
"113","00:07:17:11","00:07:18:14","[경숙의 다정한 웃음]"
"114","00:07:24:21","00:07:26:00","(경숙)
'나무'"
"115","00:07:27:04","00:07:28:14","이건 나무야, 응?"
"116","00:07:34:07","00:07:35:13","(경숙)
'햇빛'"
"117","00:07:35:15","00:07:37:17","'햇빛은 반짝반짝'"
"118","00:07:39:22","00:07:41:01","(경숙)
'개울'"
"119","00:07:41:12","00:07:43:20","개울물이 시원하다, 그렇지?"
"120","00:07:50:11","00:07:51:12","(경숙)
'바람'"
