No.,Timecode In,Timecode Out,Subtitle
"1","00:00:13:10","00:00:15:15","‪"NETFLIX 제공"‬"
"2","00:00:37:15","00:00:39:12","‪좋아, 모두 위치로‬"
"3","00:00:42:15","00:00:43:21","‪다들 준비해‬"
"4","00:00:52:11","00:00:54:00","‪깜짝 놀랐지?‬"
"5","00:00:54:16","00:00:55:23","‪코디쉬잖아?‬"
"6","00:00:57:01","00:00:59:23","‪페이소랑 그 애가‬
‪나오는 줄 알았는데‬"
"7","00:01:00:01","00:01:02:18","‪너도 알지?‬
‪페이소랑 꼬마 친구 코...‬"
"8","00:01:03:01","00:01:04:22","‪여러분, 누가 와요!‬"
"9","00:01:10:14","00:01:13:19","‪좋아, 천천히 해 봐‬"
"10","00:01:13:21","00:01:15:16","‪헤엄쳐서 나오렴‬"
"11","00:01:15:18","00:01:16:23","‪이제...‬"
"12","00:01:17:18","00:01:18:14","‪코바?‬"
"13","00:01:18:16","00:01:20:02","‪깜짝 놀랐지?‬"
"14","00:01:22:22","00:01:24:21","‪서프라이즈, 코바!‬"
"15","00:01:24:23","00:01:28:08","‪네 수영 시험을 지켜보려고‬
‪탐험대가 총출동했어‬"
"16","00:01:29:19","00:01:31:15","‪코바!‬"
"17","00:01:31:17","00:01:33:05","‪우리도 당연히 와야지‬"
"18","00:01:33:07","00:01:36:03","‪촉수가 나을 동안‬
‪오랫동안 함께 지내서‬"
"19","00:01:36:05","00:01:38:13","‪너도 우리 탐험대 같거든‬"
"20","00:01:38:15","00:01:41:02","‪코바, 준비됐니?‬"
"21","00:01:41:22","00:01:42:21","‪코바‬"
"22","00:01:42:23","00:01:44:13","‪좋아, 명심해‬"
"23","00:01:44:15","00:01:46:04","‪수영 시험에 통과하면‬"
"24","00:01:46:06","00:01:48:09","‪촉수가 다 나았다는 거니까‬"
"25","00:01:48:11","00:01:51:04","‪네 고향인 카리브해로‬
‪돌아갈 수 있어‬"
"26","00:01:51:06","00:01:55:02","‪산호초에 사는 친구들도‬
‪널 응원할 거야‬"
"27","00:01:55:18","00:01:57:01","‪코바‬"
"28","00:01:58:11","00:02:00:09","‪바로 그거야, 친구!‬"
"29","00:02:00:13","00:02:01:23","‪좋아, 코바‬"
"30","00:02:02:03","00:02:04:16","‪붕대부터 풀자‬"
"31","00:02:08:10","00:02:09:06","‪코바?‬"
"32","00:02:10:06","00:02:12:05","‪상처는 회복된 것 같네‬"
"33","00:02:12:07","00:02:14:09","‪이제 수영하러 가자!‬"
"34","00:02:14:22","00:02:15:18","‪베지멀 친구들‬"
"35","00:02:15:20","00:02:17:12","‪베지멀, 준비!‬"
"36","00:02:17:21","00:02:19:14","‪- 배롯‬
‪- 토미노‬"
"37","00:02:19:16","00:02:20:17","‪그루버‬"
"38","00:02:21:08","00:02:22:04","‪코디쉬‬"
"39","00:02:23:10","00:02:24:09","‪코디쉬‬"
"40","00:02:29:04","00:02:30:04","‪준비 끝!‬"
"41","00:02:30:06","00:02:33:02","‪좋아, 코바‬
‪첫 번째 시험은‬"
"42","00:02:33:04","00:02:35:20","‪저 고리만 통과하면 돼‬"
"43","00:02:36:15","00:02:37:12","‪코바‬"
"44","00:02:39:20","00:02:40:16","‪잘한다‬"
"45","00:02:40:18","00:02:42:08","‪- 최고야‬
‪- 훌륭해‬"
"46","00:02:42:10","00:02:44:09","‪- 멋지다‬
‪- 자랑스럽네‬"
"47","00:02:44:11","00:02:45:17","‪코바!‬"
"48","00:02:46:16","00:02:47:18","‪잘했어‬"
"49","00:02:49:20","00:02:51:11","‪다음 시험은‬"
"50","00:02:51:13","00:02:54:06","‪원을 그리며‬
‪최대한 빨리 도는 거야‬"
"51","00:02:55:22","00:02:56:20","‪코바!‬"
"52","00:03:03:18","00:03:04:16","‪코바!‬"
"53","00:03:05:07","00:03:06:10","‪잘했어!‬"
"54","00:03:08:01","00:03:10:11","‪이제 장거리 시험만 남았네‬"
"55","00:03:10:13","00:03:13:06","‪옥타포드 주변을‬
‪한 바퀴 돌 수 있겠니?‬"
"56","00:03:13:15","00:03:14:23","‪코바!‬"
"57","00:03:15:01","00:03:16:12","‪시간은 내가 잴게‬"
"58","00:03:16:14","00:03:17:11","‪준비하시고‬"
"59","00:03:18:17","00:03:21:11","‪- 출발!‬
‪- 힘내라, 코바!‬"
"60","00:03:23:16","00:03:26:18","‪코바는 다부진‬
‪꼬마 문어라니까‬"
"61","00:03:26:20","00:03:29:17","‪지금쯤 반대쪽을‬
‪돌고 있겠지?‬"
"62","00:03:33:13","00:03:34:16","‪코바는 어디 있지?‬"
"63","00:03:35:12","00:03:36:23","‪시간이 꽤 흘렀는데‬"
"64","00:03:37:01","00:03:40:00","‪- 별일 없어야 할 텐데...‬
‪- 코바!‬"
"65","00:03:40:02","00:03:41:12","‪오, 어쩜 좋아!‬"
"66","00:03:41:14","00:03:43:11","‪저 상어가‬
‪코바를 쫓고 있어요!‬"
"67","00:03:43:13","00:03:45:03","‪기다려, 코바!‬"
"68","00:03:45:20","00:03:48:08","‪코바!‬"
"69","00:03:49:18","00:03:51:08","‪감히 어딜 넘봐?‬"
"70","00:03:53:19","00:03:54:17","‪그래‬"
"71","00:03:54:19","00:03:56:04","‪물고기 비스킷이나 따라가‬"
"72","00:03:56:22","00:03:57:19","‪좋았어!‬"
"73","00:03:59:00","00:04:00:04","‪나 잡아 봐라!‬"
"74","00:04:23:09","00:04:24:05","‪열수구네‬"
"75","00:04:35:05","00:04:37:07","‪한동안 저 비스킷이나‬
‪쫓아다니겠지‬"
"76","00:04:40:00","00:04:40:20","‪주파!‬"
"77","00:04:40:22","00:04:43:07","‪- 대장!‬
‪- 대장, 괜찮으세요?‬"
"78","00:04:44:19","00:04:45:19","‪난 괜찮아‬"
"79","00:04:45:21","00:04:46:17","‪코바‬"
"80","00:04:46:19","00:04:47:21","‪괜찮니?‬"
"81","00:04:48:21","00:04:49:17","‪코바‬"
"82","00:04:50:22","00:04:53:02","‪역시 바나클 대장이셔‬"
"83","00:04:53:04","00:04:55:07","‪두려워하는 게 없으시지‬"
"84","00:04:55:09","00:04:57:08","‪굶주린 상어라도 말이야‬"
"85","00:04:57:10","00:04:59:04","‪어때, 페이소?‬"
"86","00:04:59:06","00:05:01:03","‪코바가 수영 시험을 통과했나?‬"
"87","00:05:03:06","00:05:04:08","‪이것 봐‬"
"88","00:05:04:10","00:05:07:22","‪코바!‬"
"89","00:05:09:18","00:05:11:15","‪대장, 축하를 즐기고서‬"
"90","00:05:11:17","00:05:14:14","‪코바를 고향 카리브해로‬
‪돌려보내야 해요‬"
"91","00:05:14:16","00:05:15:15","‪그래야지‬"
"92","00:05:15:17","00:05:18:11","‪대쉬, 카리브해로‬
‪항로를 설정해‬"
"93","00:05:19:10","00:05:21:19","‪대장, 그렇게‬
‪간단한 일이 아닌데요‬"
"94","00:05:21:21","00:05:24:01","‪현재 옥토포드는 여기 있는데‬"
"95","00:05:24:03","00:05:26:18","‪카리브해는 여기 있거든요‬"
"96","00:05:26:20","00:05:28:18","‪멕시코 건너 반대편이죠‬"
"97","00:05:29:15","00:05:31:15","‪그럼 코바가 사는‬
‪산호초로 가려면‬"
"98","00:05:31:17","00:05:34:05","‪옥토포드를‬
‪이렇게 움직여야겠군‬"
"99","00:05:34:07","00:05:38:09","‪네, 근데 거대한 폭풍우를‬
‪통과해야 해요‬"
"100","00:05:38:21","00:05:43:08","‪대장, 날아가면‬
‪더 빠르고 안전할 텐데요‬"
