No.,Timecode In,Timecode Out,Subtitle
"1","00:03:00:01","00:03:03:07","그 누구도 부여하지 않은
제 마음대로의 권한으로"
"2","00:03:03:09","00:03:08:11","7대양의 통치자 쿠다 공주님께
이 왕관을 수여합니다"
"3","00:03:42:13","00:03:46:13","어머, 고마워요
충신들에게 감사를 전할게요"
"4","00:03:48:00","00:03:49:13","해파리와 숙녀 여러분"
"5","00:03:49:15","00:03:54:23","왕실 무도회로
제 대관식을 축하합시다"
"6","00:03:55:00","00:03:58:03","기쁨이 영원하기를!"
"7","00:03:58:05","00:04:01:01","한 곡 추시겠습니까, 공주님?"
"8","00:04:01:03","00:04:02:24","좋지"
"9","00:04:13:10","00:04:15:06","루미나?"
"10","00:04:27:03","00:04:29:03","루미나?"
"11","00:04:30:08","00:04:31:19","루미나"
"12","00:04:31:21","00:04:33:04","웬 소란이니?"
"13","00:04:35:19","00:04:40:03","그냥 대관식 놀이를
하고 있었어요, 실라 이모"
"14","00:04:45:01","00:04:48:13","혹시 밖에서 진주 마법을 썼니?"
"15","00:04:50:00","00:04:52:11","살짝 썼을지도요"
"16","00:04:53:02","00:04:55:19","루미나, 내가 몇 번이고 말했잖니"
"17","00:04:55:21","00:04:58:05","- 네 능력을 숨겨야 해
- 능력을 숨기라고요"
"18","00:04:58:07","00:05:01:06","알아요, 실라 이모
정말로 죄송해요"
"19","00:05:01:08","00:05:03:10","넌 아주 특별한 능력이 있어"
"20","00:05:03:12","00:05:04:23","하지만 그 사실이 알려지면"
"21","00:05:05:00","00:05:08:20","온갖 나쁜 사람들이
널 노릴지도 몰라"
"22","00:05:08:22","00:05:10:14","하지만 이해가 안 돼요"
"23","00:05:10:16","00:05:12:17","여기서 누가 절 본다고요?"
"24","00:05:12:19","00:05:14:08","이해할 필요 없어"
"25","00:05:14:10","00:05:16:16","그냥 내가 시키는 대로 해라"
"26","00:05:20:17","00:05:22:12","안녕, 쿠다?"
"27","00:05:22:14","00:05:24:10","안녕하세요, 실라 이모?"
"28","00:05:29:21","00:05:31:10","잘됐네"
"29","00:05:31:12","00:05:33:05","너희 이모 화났잖아"
"30","00:05:33:07","00:05:35:11","난 조개에 부딪혀
이마가 찌그러졌고"
"31","00:05:35:13","00:05:37:04","아니야, 괜찮아 보여"
"32","00:05:38:16","00:05:41:05","머리만 빼고"
"33","00:06:10:23","00:06:13:11","아니야, 이것도 아니야"
"34","00:06:18:13","00:06:20:08","바로 이거야"
"35","00:06:20:10","00:06:22:23","어디 보자, 옷이 필요하겠어"
"36","00:06:44:10","00:06:45:13","됐다"
"37","00:06:45:15","00:06:47:16","이제 공주님 같아"
"38","00:07:07:02","00:07:09:18","이제 둘 다 공주님 같네"
"39","00:07:12:07","00:07:15:15","진짜 공주님은 어떻게 생겼을까?"
"40","00:07:15:17","00:07:17:01","그러게"
"41","00:07:17:03","00:07:19:06","성은 어떨지 궁금해"
"42","00:07:20:00","00:07:23:22","우아한 드레스 입은
아름다운 인어들이 많겠지"
"43","00:07:23:24","00:07:27:15","과연 성에선 어떤 춤을 출까?"
"44","00:07:27:17","00:07:31:11","쿠다, 우리도 성을 볼 수 있을까?"
"45","00:07:31:13","00:07:32:16","어쩌면"
"46","00:07:33:05","00:07:34:09","언젠가는"
"47","00:07:35:05","00:07:38:08","세상에서 가장 근사한 곳일 거야"
"48","00:07:38:10","00:07:41:13","거기선 다들 늘 행복하겠지"
"49","00:07:42:13","00:07:45:00","폐하, 왕비님"
"50","00:07:45:02","00:07:49:09","단 하룻밤만
사람들 앞에 나서면 됩니다"
"51","00:07:49:11","00:07:51:20","백성들에겐 두 분이 필요합니다"
"52","00:07:51:22","00:07:53:20","왕국이 원하고 있죠"
"53","00:07:53:22","00:07:55:03","감히 말씀드리건대"
"54","00:07:57:05","00:07:59:02","저도 두 분이 필요해요"
"55","00:07:59:04","00:08:04:00","칼리고, 수없이 말했지만
로렐라이 왕비와 나는…"
"56","00:08:04:02","00:08:06:19","네, 알고말고요"
"57","00:08:06:21","00:08:08:02","저도 폐하처럼"
"58","00:08:08:20","00:08:12:09","사라지신 공주님 생각에
무척이나 슬프답니다"
"59","00:08:13:16","00:08:16:07","하지만 현실을 받아들이셔야죠"
"60","00:08:17:05","00:08:20:17","폐하와 왕비님은 후계자가 없으니"
"61","00:08:20:19","00:08:24:13","두 분의 조카인 제 아들에게
왕국을 물려주셔야 해요"
"62","00:08:26:00","00:08:30:00","안녕, 바다 백합?
오늘 기분은 어때?"
"63","00:08:35:14","00:08:37:06","칼리고 말이 맞아요"
"64","00:08:37:22","00:08:39:07","이제 때가 됐어요"
"65","00:08:39:09","00:08:40:18","잘 생각하셨습니다!"
"66","00:08:40:20","00:08:46:05","왕실 무도회를 열어서
적합한 신붓감을 찾아야겠군요"
"67","00:08:46:07","00:08:51:12","왕국에서 가장 아름답고
훌륭한 인어들을 초대해서"
"68","00:08:51:14","00:08:56:05","제 아들의 아내로 삼아야죠"
"69","00:09:20:16","00:09:24:02","모든 아가씨를 다 초대해야겠군"
"70","00:09:24:04","00:09:25:17","경품 추첨도 하고"
"71","00:10:09:24","00:10:11:10","오, 이런"
"72","00:10:11:12","00:10:13:17","나 때문에 놀라셨나?"
"73","00:10:15:17","00:10:17:21","넌 누구지? 용건이 뭐야?"
"74","00:10:18:13","00:10:23:06","이름은 많지만 머리라고 불러"
"75","00:10:23:18","00:10:28:24","당신의 오랜 친구인
칼리고가 보내서 왔어"
"76","00:10:29:24","00:10:31:09","기다려!"
"77","00:10:32:19","00:10:33:19","나가!"
"78","00:10:38:01","00:10:41:12","솔직히 당신을 찾는 게
쉽진 않았지만"
"79","00:10:41:14","00:10:44:15","내 밑바닥 친구들이 찾아줬지"
"80","00:10:45:09","00:10:47:02","그래, 잘도 찾았군"
"81","00:10:47:04","00:10:48:16","원하는 게 뭐야?"
"82","00:10:48:18","00:10:52:04","역시 까탈스러우시네"
"83","00:10:52:06","00:10:53:19","용건은 간단해"
"84","00:10:53:21","00:10:59:14","칼리고가 이번에도
당신의 특기가 필요하다는군"
"85","00:10:59:16","00:11:02:22","특기? 무슨 특기?"
"86","00:11:02:24","00:11:07:04","칼리고가 왕실 무도회를 위해
성문을 열라고 왕을 설득했어"
"87","00:11:07:06","00:11:12:19","왕은 칼리고의 아들에게
바다의 진주 목걸이를 줄 거야"
"88","00:11:12:22","00:11:17:23","녀석을 축하하기 위해
멀베리 넥타로 축배를 들겠지"
"89","00:11:18:00","00:11:21:03","그 잔에 독을 타라는 거군"
"90","00:11:21:05","00:11:25:03","맞아, 왕이 죽고 아들이 왕이 되면
모두가 행복해질 거야"
"91","00:11:25:05","00:11:28:03","왕은 불행하겠지만
해피 엔딩 좋지 않아?"
"92","00:11:28:05","00:11:33:12","글쎄, 난 이제 독을 안 쓴다고
칼리고에게 전해"
"93","00:11:33:14","00:11:38:17","아가미 윤활제나
비늘 광택제를 살 게 아니라면"
"94","00:11:38:19","00:11:40:01","그만 나가!"
"95","00:11:40:17","00:11:42:06","그렇게 말할 거랬지"
"96","00:11:42:08","00:11:45:04","그럴 땐 이렇게 협박하라더군"
"97","00:11:45:06","00:11:49:12","'시키는 대로 안 하면
공주를 죽였단 걸 밝힐 거야'"
"98","00:11:49:14","00:11:51:05","감히 못 할걸?"
"99","00:11:51:07","00:11:53:02","그 말도 예상했지"
"100","00:11:53:04","00:11:57:18","그럼 이렇게 말하라더군
'내가 못 할 것 같나?'"
"101","00:11:59:15","00:12:00:23","알겠어"
"102","00:12:01:00","00:12:04:21","칼리고가 독을 쓰라면
시키는 대로 해야지"
"103","00:12:08:19","00:12:11:12","현명한 결정이군"
"104","00:12:11:14","00:12:14:13","받아, 이 무도회 초대장이
필요할 거야"
"105","00:12:15:02","00:12:19:00","추잡한 세부 계획은
당신이 알아서 세우도록 해"
"106","00:12:19:02","00:12:23:14","어떻게든 왕만 처단하면 되니까"
"107","00:12:23:16","00:12:24:22","안 그래?"
"108","00:12:26:21","00:12:29:23","늦지 마, 토요일 8시까지
성으로 와"
"109","00:12:30:01","00:12:31:01","성이라고요?"
"110","00:12:32:11","00:12:33:12","성이라니요?"
"111","00:12:39:17","00:12:42:09","이런, 누구실까?"
"112","00:12:44:02","00:12:46:19","- 안녕하세요? 저는 루…
- 저녁 식사에 또 늦겠네"
"113","00:12:47:11","00:12:49:17","손님이 막 가려던 참이었어"
"114","00:12:49:19","00:12:50:23","하지만, 실라 이모"
"115","00:12:51:14","00:12:52:20","실라 이모?"
"116","00:12:52:22","00:12:55:09","혼자 사는 줄 알았는데"
"117","00:12:55:12","00:12:58:12","- 어쩌면 내가…
- 착각했겠지, 나가!"
"118","00:13:14:16","00:13:15:19","실라 이모"
"119","00:13:19:08","00:13:20:08","뭐야!"
"120","00:13:23:04","00:13:26:19","이모 친구가 무슨 얘길 한 거죠?
진짜 성 말하는 거예요?"
"121","00:13:26:21","00:13:30:20","성에 가시려고요?
저도 가도 돼요? 제발요"
"122","00:13:31:09","00:13:32:10","루미나"
"123","00:13:32:13","00:13:37:13","성에는 금빛 문과 진주 샹들리에
아름다운 왕좌가 있대요"
"124","00:13:37:15","00:13:38:15","근사할 거예요"
"125","00:13:38:17","00:13:41:12","성에 가는 게 제 꿈이었어요
쿠다도 마찬가지고요"
"126","00:13:42:06","00:13:45:18","절대 안 돼
여길 떠나면 위험하다고 했잖아"
"127","00:13:45:20","00:13:47:07","난 묘약을 팔려고 다니지만"
"128","00:13:47:09","00:13:50:08","어린 여자애가 혼자 다니기엔
너무 위험해"
"129","00:13:50:10","00:13:52:02","전 혼자가 아니잖아요"
"130","00:13:53:11","00:13:55:08","이모랑 쿠다가 있는걸요"
"131","00:13:55:10","00:14:00:10","불산호랑 흡혈 오징어
독이 있는 스톤피시도 있지"
"132","00:14:01:22","00:14:06:23","루미나, 너희는 이 암초 밖으로
나가본 적도 없잖니"
"133","00:14:07:00","00:14:11:18","아무리 내가 널 지켜봐도
금방 위험해질 거야"
"134","00:14:11:20","00:14:14:00","- 하지만…
- 그만해라!"
"135","00:14:19:15","00:14:21:02","안 된다고 하시잖아"
"136","00:14:21:18","00:14:24:09","흡혈 오징어 다음 얘긴
듣지도 않았어"
"137","00:14:28:05","00:14:31:20","잘 지내고 있으렴
며칠 후에 돌아올 거야"
"138","00:14:31:22","00:14:35:23","둘 다 얌전히 집에 있어야 한다"
