No.,Timecode In,Timecode Out,Subtitle
"1","00:04:42:21","00:04:47:06","“시작”"
"2","00:04:48:22","00:04:50:22","“벼랑 위의 포뇨”"
"3","00:04:51:08","00:04:58:07","우리의 푸른 집"
"4","00:05:01:13","00:05:08:12","바다가 출렁이는 곳"
"5","00:05:10:19","00:05:17:18","셀 수 없이 많은"
"6","00:05:20:17","00:05:25:24","형제자매들과"
"7","00:05:26:11","00:05:31:24","거품의 언어로"
"8","00:05:32:02","00:05:38:00","이야기하고 있었죠"
"9","00:05:40:03","00:05:47:02","기억하나요?"
"10","00:05:49:00","00:05:55:24","아주 먼 옛날"
"11","00:05:58:15","00:06:05:14","우리는 푸른 바다에서"
"12","00:06:07:18","00:06:14:17","함께 살고 있었죠"
"13","00:06:17:07","00:06:21:04","해파리도 성게도"
"14","00:06:21:06","00:06:26:05","물고기도 게도"
"15","00:06:26:17","00:06:33:00","모두들"
"16","00:06:33:02","00:06:36:22","형제자매였어요"
"17","00:06:53:05","00:06:55:24","소스케, 금방 와야 돼!"
"18","00:06:56:02","00:06:57:02","네!"
"19","00:08:37:16","00:08:38:15","금붕어다!"
"20","00:08:51:20","00:08:52:22","안 빠지네"
"21","00:09:10:17","00:09:11:16","이상한 파도야"
"22","00:09:22:10","00:09:23:08","아야!"
"23","00:09:26:15","00:09:27:23","죽었나?"
"24","00:09:32:15","00:09:34:00","핥았어, 살아 있어!"
"25","00:09:37:13","00:09:39:05","소스케, 어서 가자"
"26","00:09:40:10","00:09:43:03","엄마, 금붕어야"
"27","00:09:53:22","00:09:55:01","갑자기 웬 바람이지?"
"28","00:09:55:11","00:09:57:21","소스케, 차 시동 걸어 놨다"
"29","00:10:07:07","00:10:08:06","찾았어?"
"30","00:10:14:02","00:10:16:24","뭐? 인간한테 잡혔다고?"
"31","00:10:20:09","00:10:22:03","큰일 났네, 엄청 큰일 났어"
"32","00:10:49:03","00:10:50:16","금붕어, 죽었나?"
"33","00:10:58:21","00:10:59:23","살아 있다!"
"34","00:11:09:14","00:11:13:12","지각해서 선생님한테
혼나도 난 몰라"
"35","00:11:14:02","00:11:17:04","엄마, 금붕어 살아 있어!"
"36","00:11:17:06","00:11:18:07","금붕어?"
"37","00:11:18:24","00:11:20:21","바다에서 주웠어"
"38","00:11:20:23","00:11:22:03","그래?"
"39","00:11:47:02","00:11:48:07","대체 누구신데"
"40","00:11:48:09","00:11:50:07","여기서 제초제를
뿌리시는 거예요?"
"41","00:11:53:02","00:11:55:15","천만에요
이건 제초제가 아닙니다"
"42","00:11:55:17","00:11:58:22","공기의 건조함을 막기 위해
깨끗한 물을..."
"43","00:11:58:24","00:12:01:02","제초제가 아니면 됐어요"
"44","00:12:02:06","00:12:03:05","실례하겠습니다"
"45","00:12:11:16","00:12:13:09","점점 안 좋아!"
"46","00:12:16:10","00:12:18:02","저 이상한 남자는 누구야?"
"47","00:12:18:04","00:12:21:10","이런 말하면 안 돼
사람은 겉보기랑 다르니까"
"48","00:12:21:12","00:12:22:24","난 그런 말 안 해"
"49","00:12:23:01","00:12:25:20","- 어린이집에 가져가려고?
- 응!"
"50","00:12:26:12","00:12:27:22","선생님이 싫어할 텐데"
"51","00:12:28:12","00:12:31:21","걱정 마
내가 잘 지켜줄 거니까"
"52","00:12:32:08","00:12:33:15","어머나, 예쁘다!"
"53","00:12:40:15","00:12:42:00","배 들어오는 날이야"
"54","00:12:44:01","00:12:46:05","어린이집 도착하기 전에 먹어"
"55","00:12:47:20","00:12:49:15","이거 먹으려나?"
"56","00:12:50:15","00:12:51:18","먹을래?"
"57","00:12:53:10","00:12:55:06","어? 상처가 없어졌어!"
"58","00:12:58:18","00:13:01:07","엄마, 얘 이름 포뇨야"
"59","00:13:02:08","00:13:05:05","포뇨는 특별해
마법도 사용할 수 있어"
"60","00:13:05:24","00:13:08:09","내 손의 상처도 낫게 해 줬어"
"61","00:13:18:22","00:13:20:07","햄 먹을래?"
"62","00:13:35:19","00:13:38:05","엄마, 포뇨가 햄을 좋아해"
"63","00:13:38:07","00:13:39:15","나랑 똑같네"
"64","00:14:03:08","00:14:04:16","이런!"
"65","00:14:07:14","00:14:09:00","싫어, 싫어!
더러운 바다는 싫어!"
"66","00:14:09:14","00:14:11:05","리사 씨, 빨리 와요!"
"67","00:14:20:06","00:14:22:11","더러워, 너무너무 더러워!"
"68","00:14:24:23","00:14:26:13","안녕하세요"
"69","00:14:33:02","00:14:35:12","포뇨, 저기가 우리 집이야"
"70","00:14:57:13","00:14:59:09","- 먼저 갈게
- 응"
"71","00:14:59:12","00:15:01:21","- 나중에 보자
- 다녀오겠습니다"
"72","00:15:03:10","00:15:06:09","- 늦어서 죄송해요
- 노리코 씨 휠체어 부탁해요"
"73","00:15:06:11","00:15:07:11","네!"
"74","00:15:22:10","00:15:24:02","소스케, 일찍 왔구나"
"75","00:15:24:04","00:15:27:06","할머니, 지금 바쁘니까
이따 봐요"
"76","00:15:27:08","00:15:28:11","뭐가 바쁜데?"
"77","00:15:28:13","00:15:29:23","소스케"
"78","00:15:30:05","00:15:32:09","- 토키 할머니, 나중에요
- 어머!"
"79","00:15:39:20","00:15:41:21","선생님께서 안 된다고 하실까?"
"80","00:15:43:24","00:15:44:23","그래!"
"81","00:15:49:02","00:15:51:18","여기서 잠시만 기다려
금방 올게"
"82","00:15:54:15","00:15:56:04","고양이가 잡아먹진 않겠지?"
"83","00:16:07:06","00:16:10:16","얌전히 있어야 돼
금방 다녀올게"
"84","00:16:18:08","00:16:20:10","그럼 가 볼게요. 안녕!"
"85","00:16:22:16","00:16:25:11","열이 있지만
이 정도는 괜찮아요"
"86","00:16:26:09","00:16:28:05","그럼 부탁할게요. 빠이빠이!"
"87","00:16:28:20","00:16:32:02","- 선생님, 안녕하세요
- 안녕, 소스케"
"88","00:16:32:04","00:16:33:06","소스케 왔구나!"
"89","00:16:38:19","00:16:41:01","- 소스케!
- 쿠미코"
"90","00:16:41:03","00:16:44:07","이거 봐, 예쁘지?
우리 엄마가 사 줬다"
"91","00:16:45:16","00:16:49:18","- 소스케, 나랑 놀자
- 지금 바쁘니까 나중에"
"92","00:16:49:21","00:16:53:08","- 뭐가 바쁘단 거야?
- 그냥 바쁘단 말이야"
"93","00:16:53:10","00:16:54:22","소스케, 미워"
"94","00:16:55:05","00:16:56:03","미워"
"95","00:17:17:19","00:17:18:23","포뇨!"
"96","00:17:26:14","00:17:27:14","여기서 뭐 해?"
