No.,Timecode In,Timecode Out,Subtitle
"1","00:00:35:06","00:00:38:13","슈렉 포에버"
"2","00:00:42:06","00:00:44:11","옛날 옛적에"
"3","00:00:44:15","00:00:48:05","왕과 왕비에겐 피오나라는
아름다운 딸이 있었다"
"4","00:00:48:08","00:00:51:02","하지만 피오나는
끔찍한 저주에 걸리고 만다"
"5","00:00:51:06","00:00:55:18","낮엔 어여쁜 공주였지만
밤엔 섬뜩한 괴물이 되었다"
"6","00:00:56:02","00:00:58:17","진정한 사랑의 키스만이
이 저주를 풀 수 있었다"
"7","00:00:58:20","00:01:03:04","그래서 피오나 공주는
용이 감시하는 탑에서"
"8","00:01:03:07","00:01:06:01","진정한 사랑의 키스를
기다렸다"
"9","00:01:06:04","00:01:08:11","그러나 시간이
너무 많이 흐르자"
"10","00:01:08:15","00:01:12:14","어쩔 수 없이 왕과 왕비는
극단적인 조치를 취하게 되었다"
"11","00:01:32:03","00:01:34:05",""마녀들의 소굴""
"12","00:02:00:15","00:02:02:15",""놓치면 후회할 세일""
"13","00:02:07:12","00:02:09:09","난 잘 모르겠소"
"14","00:02:09:12","00:02:13:19","요정 대모는 진정한 사랑의 키스만이
피오나의 저주를 풀 수 있다고 했잖소"
"15","00:02:14:03","00:02:18:08","저는 그 여자를 믿지 않아요
이게 우리의 마지막 희망일 수도 있어요"
"16","00:02:18:11","00:02:21:14","게다가 미다스 왕도
이 사람을 적극 추천했잖아요"
"17","00:02:21:17","00:02:26:10","속이 타기로서니
그런 자까지 만나야겠소?"
"18","00:02:26:13","00:02:31:07","교활하고 음흉한 그자는..."
"19","00:02:31:11","00:02:33:18","럼펠스틸스킨!"
"20","00:02:37:15","00:02:39:06","전하"
"21","00:02:39:18","00:02:41:07","안녕하세요"
"22","00:02:43:05","00:02:44:20","자세 낮춰, 피피!"
"23","00:02:46:12","00:02:49:10","보시다시피
모든 준비가 끝났습니다"
"24","00:02:49:14","00:02:53:08","정말 내 딸에게 걸린 저주를
풀 수 있겠는가?"
"25","00:02:53:11","00:02:57:18","보답으로 '머나먼 왕국'을
저한테 넘겨주신다면요"
"26","00:03:03:19","00:03:07:23","- 릴리안, 이건 미친 짓이야!
- 딴 방법이 없잖아요"
"27","00:03:08:06","00:03:11:17","피오나는 탑 안에
너무 오래 갇혀 있었어요"
"28","00:03:11:20","00:03:13:22","그 안에서
나이만 먹고 있는 거죠"
"29","00:03:14:05","00:03:16:19","우리 왕국 전체를 넘기자고?"
"30","00:03:16:22","00:03:19:20","딸보다 왕국이
더 값지다면야..."
"31","00:03:19:24","00:03:23:16","우리 딸보다 소중한 건 없네"
"32","00:03:27:06","00:03:28:16","피피, 이리 오렴!"
"33","00:03:34:20","00:03:38:17","여기 서명하시면
모든 문제가 해결될 겁니다"
"34","00:03:48:10","00:03:51:12","전하! 공주님이
구출됐다고 합니다!"
"35","00:03:56:17","00:03:58:07","구출하다니, 누가?"
"36","00:03:58:22","00:04:01:18","상상이나 했겠는가
온 나라를"
"37","00:04:01:23","00:04:03:23","공포의 도가니탕에 빠트린
괴물 슈렉이"
"38","00:04:04:06","00:04:06:20","공주를 구할 줄이야"
"39","00:04:06:23","00:04:09:22","진정한 사랑의 키스
결혼과 출산"
"40","00:04:10:06","00:04:13:08","마침내 평화가 찾아온
머나먼 왕국"
"41","00:04:13:12","00:04:17:19","그렇게 그들은
영원히 행복하게 살았답니다"
"42","00:04:19:11","00:04:22:07","저기요, 그거 물어내셔야 해요"
"43","00:04:23:14","00:04:26:00","나랑 흥정 좀 할까, 꼬마야?"
"44","00:04:26:09","00:04:28:09","전 사람이 아닌걸요"
"45","00:04:28:12","00:04:29:22","사람이 되게 해줄까?"
"46","00:04:32:15","00:04:36:21","개수작은
개한테나 가서 부려!"
"47","00:04:42:18","00:04:46:12","태어난 걸
후회하게 해줄 테다!"
"48","00:04:48:22","00:04:50:21",""경고!
괴물 조심""
"49","00:04:58:13","00:05:00:17","아빠, 일어나세요!"
"50","00:05:01:12","00:05:04:15","- 좋은 아침
- 잘 잤어?"
"51","00:05:07:17","00:05:09:09","참는 거보다는 낫지"
"52","00:05:09:19","00:05:11:07","그건 내가 한 말이잖아"
"53","00:05:11:11","00:05:14:10","이렇게 작고 귀여운 퍼거스가
싸봤자 얼마나..."
"54","00:05:14:13","00:05:17:17","이렇게 푸짐하게 쌀 줄이야"
"55","00:05:17:22","00:05:21:01","냄새 한번 끔찍하네"
