No.,Timecode In,Timecode Out,Subtitle
"1","00:00:05:11","00:00:07:10","[새근거리는 소리가 난다]"
"2","00:00:07:24","00:00:09:20","[새근거린다]"
"3","00:00:09:22","00:00:10:20","[두리의 덜덜 떠는 신음]"
"4","00:00:10:22","00:00:14:02","(두리) [겁먹은 목소리로]
안녕하세요, 전 두리라고 해요"
"5","00:00:14:04","00:00:16:22","이 밤까지 안 자고 뭐 하냐고요?"
"6","00:00:17:18","00:00:19:22","사실은 아까부터"
"7","00:00:19:24","00:00:21:22","이상한 느낌이 드는 게"
"8","00:00:21:24","00:00:26:04","[긴장되는 음악]
왠지 방 안에
귀신이 있는 것 같아요"
"9","00:00:26:06","00:00:29:10","어른들은 세상에 귀신이
어디 있냐고 하지만…"
"10","00:00:29:12","00:00:30:17","[덜덜 떠는 신음]"
"11","00:00:30:19","00:00:34:01","[긴장되는 효과음]
[두리의 겁먹은 신음]"
"12","00:00:38:00","00:00:39:06","[놀란 신음]"
"13","00:00:40:13","00:00:43:04","[잡귀의 거친 신음]"
"14","00:00:43:06","00:00:44:11","[두리의 겁먹은 신음]"
"15","00:00:48:05","00:00:49:07","[잡귀의 괴성]"
"16","00:00:50:07","00:00:51:20","역시 여기 있었구나"
"17","00:00:52:17","00:00:55:14","네가 나타날 줄 알고
잠든 척하고 있었거든"
"18","00:00:55:17","00:00:56:23","[잡귀의 괴성]"
"19","00:00:57:00","00:00:58:05","[하리의 힘주는 신음]"
"20","00:00:58:18","00:01:00:14","에이, 겨우 그 정도야?"
"21","00:01:01:06","00:01:02:11","제대로 덤벼 보시지"
"22","00:01:02:14","00:01:03:14","[분한 신음]"
"23","00:01:03:16","00:01:06:05","(두리) 귀신보다 더 무서운
저 사람이 바로…"
"24","00:01:06:07","00:01:07:16","[괴성]"
"25","00:01:07:18","00:01:09:14","[잡귀의 힘주는 신음]"
"26","00:01:09:16","00:01:11:16","우리 누나 구하리예요"
"27","00:01:11:18","00:01:13:08","[잡귀의 괴성]"
"28","00:01:14:09","00:01:15:17","[당황한 신음]
[두리의 의아한 신음]"
"29","00:01:15:19","00:01:17:16","[긴박한 음악]
[거친 탄성]"
"30","00:01:17:18","00:01:20:08","(신비) 나와라, 방어막 요술, 깹!"
"31","00:01:20:10","00:01:21:22","[잡귀의 신음]"
"32","00:01:22:12","00:01:26:06","[어두운 음악]
아, 이 위대하신 도깨비
신비 님이 없었으면"
"33","00:01:26:08","00:01:27:11","또 어쩔 뻔했냐?"
"34","00:01:27:13","00:01:30:15","(두리) 이 이상하게 생긴 애는
도깨비 신비예요"
"35","00:01:30:17","00:01:33:13","보기엔 저래도
백 살도 더 먹었대요"
"36","00:01:33:15","00:01:36:02","(하리) 너 없어도
우리가 처리할 수 있었거든"
"37","00:01:36:04","00:01:38:07","(신비) 뭣이라?
건방진 인간 주제에"
"38","00:01:38:09","00:01:40:03","[거친 신음]
[흥미진진한 음악]"
"39","00:01:40:05","00:01:41:17","[잡귀의 기합]
[하리와 두리의 놀란 숨소리]"
"40","00:01:41:19","00:01:43:24","- (하리) 두리야, 준비해
- (두리) 알았어, 누나"
"41","00:01:44:01","00:01:45:07","[비장한 신음]"
