No.,Timecode In,Timecode Out,Subtitle
"1","00:01:43:22","00:01:45:20","세상에!"
"2","00:02:11:23","00:02:13:05","레츠 고 크레이지"
"3","00:02:14:07","00:02:15:17","레츠 고 크레이지"
"4","00:02:16:15","00:02:18:12","레츠 고 크레이지"
"5","00:02:19:06","00:02:20:09","레츠 고 크레이지"
"6","00:02:20:11","00:02:22:04","너의 현실이"
"7","00:02:22:22","00:02:24:03","마음에 안 들 땐"
"8","00:02:25:09","00:02:27:10","주위를 둘러봐"
"9","00:02:27:13","00:02:29:04","친구가 있어"
"10","00:02:29:23","00:02:31:16","그녀에게 전화를 걸었어"
"11","00:02:32:09","00:02:33:22","얘기를 나누려고"
"12","00:02:35:01","00:02:37:16","받자마자 내동댕이치더니"
"13","00:02:37:18","00:02:40:02","아, 아, 아무 말 없네"
"14","00:02:40:05","00:02:43:21","그저 우울해하고 있을 거야?"
"15","00:02:43:23","00:02:44:24","아니지, 가자!"
"16","00:02:45:02","00:02:46:11","레츠 고 크레이지"
"17","00:02:47:11","00:02:48:21","미친 듯이 놀아봐"
"18","00:02:49:11","00:02:54:00","계속 가보는 거야
끝이 어디든"
"19","00:02:54:02","00:02:55:03","가자!"
"20","00:03:04:10","00:03:06:22","- 너무 짜릿해
- 짜릿해"
"21","00:03:06:24","00:03:09:05","- 왜일까?
- 왜지?"
"22","00:03:09:07","00:03:11:09","아마도 그건"
"23","00:03:11:12","00:03:13:10","모든 게 언젠가 끝나니까"
"24","00:03:16:19","00:03:19:06","- 그렇다면
- 그렇다면"
"25","00:03:19:08","00:03:21:17","- 뭐가 중요해?
- 뭐가 중요해?"
"26","00:03:21:19","00:03:25:18","지금을 즐기는 거야
더 늦기 전에"
"27","00:03:25:20","00:03:26:21","그래"
"28","00:03:26:23","00:03:30:14","그저 우울해하고 있을 거야?"
"29","00:03:30:16","00:03:32:05","아니지, 가자!"
"30","00:03:32:07","00:03:34:07","- 레츠 고 크레이지
- 레츠 고 크레이지"
"31","00:03:34:09","00:03:36:16","- 미친 듯이 놀아봐
- 놀아보자"
"32","00:03:36:18","00:03:39:00","계속 가보는 거야"
"33","00:03:39:02","00:03:41:08","끝이 어디든, 가자!"
"34","00:03:43:13","00:03:45:08","모두 안녕"
"35","00:03:45:10","00:03:47:12","미친 듯이 놀아보자고"
"36","00:03:50:05","00:03:51:10","좋았어!"
"37","00:03:51:13","00:03:55:01","그저 우울해하고 있을 거야?"
"38","00:03:55:03","00:03:56:12","아니지, 가자!"
"39","00:03:56:14","00:03:58:23","- 레츠 고 크레이지
- 레츠 고 크레이지"
"40","00:03:59:00","00:04:00:23","- 미친 듯이 놀아봐
- 놀아보자"
"41","00:04:01:00","00:04:05:08","계속 가보는 거야
끝이 어디든"
"42","00:04:05:10","00:04:06:11","가자!"
"43","00:04:06:13","00:04:08:06","다 괜찮을 거라는"
"44","00:04:08:08","00:04:10:17","위로 따윈 필요 없어"
"45","00:04:25:07","00:04:28:10","가자!"
"46","00:04:36:20","00:04:37:22","무슨 일이야?"
"47","00:04:37:24","00:04:39:21","설명할 시간 없어
일단 튀어!"
"48","00:04:45:23","00:04:46:24","아, 새미"
"49","00:04:47:01","00:04:48:21","너 춤 많이 늘었더라"
"50","00:04:48:23","00:04:50:13","저 이제 잘 추죠?"
"51","00:04:50:15","00:04:51:23","그래, 훌륭해"
"52","00:04:53:12","00:04:55:17","모두 잘했어"
"53","00:04:55:19","00:04:56:19","고마워요, 미스터 문"
"54","00:04:56:21","00:05:00:01","우리가 무대를 완전히 찢어버렸어"
"55","00:05:00:03","00:05:01:08","그 여자 왔어요?"
"56","00:05:03:10","00:05:04:11","저기요"
"57","00:05:04:13","00:05:06:01","저 개 보여요?
셋째 줄 가운데"
"58","00:05:06:03","00:05:09:00","- 생각보다 젊네요
- 연예계 최고의"
"59","00:05:09:02","00:05:10:14","스카우트 담당자래요"
"60","00:05:10:16","00:05:12:13","표정이 잘 안 보여요"
"61","00:05:12:15","00:05:14:15","잘 보이는 데로 가죠"
"62","00:05:27:18","00:05:30:04","반응이 어때요, 미스 크롤리?"
"63","00:05:30:06","00:05:31:24","아주 좋아요, 미스터 문"
"64","00:05:32:02","00:05:34:14","지금까지 9번 미소 지었고"
"65","00:05:34:16","00:05:37:11","2번 깔깔댔고
5번 피식댔어요"
"66","00:05:38:01","00:05:40:10","마지막 건
방귀 소리일 수도 있지만"
"67","00:05:40:12","00:05:42:16","그럼 확실하네요
만족스럽나 봐요"
"68","00:05:42:18","00:05:44:17","- 그럴까요?
- 그러면 좋겠다"
"69","00:05:44:20","00:05:46:06","자, 마무리 잘하자고요"
"70","00:05:46:08","00:05:47:19","다들 위치로 돌아가요"
"71","00:05:47:21","00:05:50:10","마음에 안 들 수가 없지"
"72","00:05:50:12","00:05:52:14","'꿈을 크게 가져라'"
"73","00:05:52:16","00:05:54:01","내가 늘 그랬죠?"
"74","00:05:55:05","00:05:57:06","이제 곧 우리 공연이"
"75","00:05:57:08","00:06:00:05","엔터테인먼트의 메카로
진출하겠어요"
"76","00:06:00:07","00:06:02:16","미스터 문, 저 여자 나가요"
"77","00:06:03:15","00:06:04:16","극장을 나간다고요"
"78","00:06:08:06","00:06:09:12","여기서 기다려요"
"79","00:06:09:14","00:06:10:15","어쩌시게요?"
"80","00:06:10:17","00:06:12:04","따라가려고요"
"81","00:06:17:16","00:06:19:06","- 깜짝이야!
- 나나"
"82","00:06:19:08","00:06:20:12","뭐 하는 거야?"
"83","00:06:20:14","00:06:21:19","스카우트 담당자가 나가요"
"84","00:06:23:22","00:06:25:00","그러네"
"85","00:06:25:02","00:06:26:21","어서 가봐"
"86","00:06:30:24","00:06:32:20","수키? 수키 레인"
"87","00:06:33:10","00:06:34:18","버스터 문이에요"
"88","00:06:34:20","00:06:36:18","와주셔서 감사합니다"
"89","00:06:36:20","00:06:38:12","- 팝콘 드실래요?
- 아뇨"
"90","00:06:38:14","00:06:40:12","2부는 안 볼 거라서요"
"91","00:06:40:14","00:06:42:13","재밌게 보시던데…"
"92","00:06:42:15","00:06:44:09","감시한 건 아니고요"
"93","00:06:44:11","00:06:47:01","귀여운 공연이긴 한데"
"94","00:06:47:21","00:06:49:09","우리와는 안 맞네요"
"95","00:06:49:11","00:06:51:13","잠시만요, 2부도 보셔야죠"
"96","00:06:51:15","00:06:53:10","2부가 진짜 재밌어요!"
"97","00:06:53:12","00:06:55:24","- 솔직히 말해도 돼요?
- 그럼요"
"98","00:06:56:02","00:06:58:19","진짜요? 말하면 다들 화내던데"
"99","00:06:58:21","00:07:00:23","아니에요
솔직히 말해줘요"
"100","00:07:01:00","00:07:02:18","그 수준으론 부족해요"
"101","00:07:02:20","00:07:04:00","뭐라고요?"
"102","00:07:04:02","00:07:05:10","택시!"
"103","00:07:05:12","00:07:07:17","아, 팝콘은 가져갈게요"
"104","00:07:09:04","00:07:12:04","작은 지역 공연치곤 제법이고"
"105","00:07:12:06","00:07:14:09","나름대로 매력이 있지만"
"106","00:07:14:11","00:07:17:16","그 정도론
큰 무대에서 성공 못 해요"
"107","00:07:17:18","00:07:18:24","갈게요"
"108","00:07:21:18","00:07:23:19",""'이상한 나라의 앨리스'
매진""
"109","00:07:23:21","00:07:25:05","어떻게 됐어?"
"110","00:07:25:07","00:07:26:14","뭐래?"
"111","00:07:27:03","00:07:28:20","금방 올게요"
"112","00:07:28:22","00:07:29:22","별로야"
"113","00:07:30:23","00:07:33:00","웃음 포인트도 있고
기발하긴 한데"
"114","00:07:33:02","00:07:35:17","그게 다야
아무튼 목요일 미팅 말인데…"
