No.,Timecode In,Timecode Out,Subtitle
"1","00:00:01:00","00:00:03:00","[새가 지저귄다]
[밝은 음악]"
"2","00:00:08:01","00:00:09:20","[비행기 엔진음]"
"3","00:00:17:09","00:00:20:14","누나, 새야, 새! 저기 봐!"
"4","00:00:20:16","00:00:22:01","[애기의 웃음]
뭐? 어디, 어디?"
"5","00:00:22:03","00:00:23:15","우와, 새가?
[미미와 애기의 아픈 탄성]"
"6","00:00:24:10","00:00:28:20","[미미와 애기의 힘겨운 탄성]
[의아한 탄성]
고객님, 의자에 서시면 안 돼요"
"7","00:00:29:03","00:00:31:08","(자두) 안 보여, 어디, 어?
[애기와 미미의 힘겨운 탄성]"
"8","00:00:31:10","00:00:32:23","[자두의 힘주는 숨소리]
[승무원의 곤란한 탄성]
(애기) 안 보여"
"9","00:00:33:01","00:00:34:16","(미미) 밀지 마, 좀!
[짜증 섞인 숨소리]"
"10","00:00:34:23","00:00:37:12","아, 주스 안 드시는 거죠?
[우당탕거리는 소리]"
"11","00:00:37:14","00:00:38:20","[당황한 탄성]
[미미의 탄성]"
"12","00:00:39:03","00:00:42:07","[함께 옅게 웃는다]
아니요, 저희 다 앉았어요"
"13","00:00:42:16","00:00:44:08","벨트도 다 했어요"
"14","00:00:44:23","00:00:46:13","[당황한 탄성]
[어색한 웃음]"
"15","00:00:46:15","00:00:48:00","[승무원의 옅은 웃음]
[탁 내려놓는 소리]"
"16","00:00:48:23","00:00:50:09","주스 맛있게 드세요"
"17","00:00:51:19","00:00:53:08","전 사과주스요"
"18","00:00:53:10","00:00:55:23","[바람 소리 효과음]
저는 오렌지로요!"
"19","00:00:57:01","00:00:58:12","저는 다 좋아요"
"20","00:01:01:22","00:01:04:00","[천둥이 우르릉 친다]"
"21","00:01:05:22","00:01:08:03","(기장) 승객 여러분
기류가 불안정합니다"
"22","00:01:08:09","00:01:09:22","승객 여러분께서는 자리에 앉아"
"23","00:01:10:04","00:01:12:00","안전벨트를
착용해 주시기 바랍니다"
"24","00:01:12:02","00:01:13:03","[어두운 음악]"
"25","00:01:13:05","00:01:15:05","[놀란 숨소리]
[겁먹은 탄성]"
"26","00:01:15:13","00:01:17:04","어, 엄마!
[자두와 난향의 겁먹은 탄성]"
"27","00:01:17:06","00:01:19:21","괘, 괜찮아, 금방 지나갈 거야"
"28","00:01:22:02","00:01:23:13","[천둥이 우르릉거린다]"
"29","00:01:26:21","00:01:28:09","[승객들의 비명]"
"30","00:01:30:20","00:01:31:20","[펑 폭발음]"
"31","00:01:33:02","00:01:34:02","[쿵 폭발음]"
"32","00:01:38:20","00:01:40:11","[미미와 애기의 비명]
[놀라며] 안 돼!"
"33","00:01:40:21","00:01:42:19","[난향과 호돌의 비명]
(난향과 호돌) 추락한다!"
"34","00:01:42:21","00:01:44:11","(기장) 긴급 상황
긴급 상황입니다!
[승객들의 비명]"
"35","00:01:44:17","00:01:45:22","승객 여러분, 다시 한번"
"36","00:01:46:00","00:01:47:11","안전벨트를
확인해 주시길 바랍니다"
"37","00:01:47:13","00:01:49:03","(돌돌) [웅얼거리며] 나
토할 거 같아요!"
"38","00:01:49:19","00:01:52:19","[승무원의 비명]"
"39","00:01:53:01","00:01:54:15","[힘겨운 탄성]
[아픈 탄성]"
"40","00:01:54:17","00:01:55:21","[승무원의 비명]"
"41","00:02:00:02","00:02:01:02","[자두의 비명]"
"42","00:02:05:15","00:02:07:22","[힘겨운 탄성]"
"43","00:02:10:04","00:02:11:23","아, 뭐, 뭐야?
[긴장되는 음악]"
"44","00:02:12:11","00:02:14:23","음, 어?
[스산한 효과음]"
"45","00:02:15:05","00:02:17:17","[비명 지르며] 미미야, 애기야!"
"46","00:02:17:22","00:02:19:05","[힘주는 탄성]
어?"
"47","00:02:20:01","00:02:22:00","[놀라며] 이게 무슨 일이야!
[겁먹은 탄성]"
"48","00:02:23:00","00:02:24:01","[자두의 놀란 탄성]"
"49","00:02:25:09","00:02:26:09","(자두) 어?"
"50","00:02:27:04","00:02:28:04","[옅은 웃음]"
"51","00:02:28:20","00:02:30:12","아, 뭐, 뭐지?"
"52","00:02:32:04","00:02:33:05","[자두의 힘주는 숨소리]"
"53","00:02:34:16","00:02:37:09","아, 저, 저기, 밖에 누구세요?"
"54","00:02:38:09","00:02:39:20","[자두의 의아한 탄성]
[어두운 효과음]"
"55","00:02:42:07","00:02:43:08","[바람 소리 효과음]"
"56","00:02:44:08","00:02:45:08","[놀란 탄성]"
"57","00:02:45:14","00:02:47:08","[자두의 당황한 탄성]
[우지끈거리는 소리]"
"58","00:02:47:22","00:02:49:13","[쿵 폭발음]
[자두의 비명]"
"59","00:02:50:12","00:02:51:22","[자두의 비명]"
"60","00:02:52:09","00:02:53:09","[승객들의 의아한 탄성]"
"61","00:02:54:07","00:02:55:12","[승객들이 웅성거린다]"
"62","00:02:55:14","00:02:58:02","(윤석) 야, 진정해, 이제 괜찮아
[익살스러운 음악]
[자두가 연신 비명 지른다]"
"63","00:02:58:10","00:03:01:11","(자두) 아니야
방금 물속에서 막 이상한…"
"64","00:03:01:13","00:03:03:18","[자두의 겁먹은 탄성]
자두야, 꿈꿨구나?"
"65","00:03:03:23","00:03:05:11","정전에 난기류 때문에
[자두의 놀란 숨소리]"
"66","00:03:05:19","00:03:09:10","[자두의 의아한 탄성]
엄청 흔들리고 아무것도
안 보여서 진짜 죽는 줄 알았어"
"67","00:03:10:04","00:03:11:21","[익살스러운 음악]
[승무원의 힘겨운 숨소리]"
"68","00:03:11:23","00:03:13:12","승객 여러분…
[승무원의 의아한 탄성]"
"69","00:03:14:02","00:03:17:04","[멋쩍게 웃으며] 곧 제주공항에
착륙할 예정입니다"
"70","00:03:17:11","00:03:19:20","안전벨트를
착용해 주시기 바랍니다"
"71","00:03:20:18","00:03:22:20","아까 그게 꿈이었다고?
[미미의 옅은 웃음]
[애기와 미미의 놀란 탄성]"
"72","00:03:23:02","00:03:24:14","[애기의 웃음]
[자두의 심란한 숨소리]"
"73","00:03:25:02","00:03:27:16","다 왔어!
[웃음]
[밝은 음악]"
"74","00:03:28:21","00:03:31:01","- (자두와 자두 동생들) 우와!
- (자두) 제주도다!"
"75","00:03:31:03","00:03:33:08","[자두와 자두 동생들이 웃는다]"
"76","00:03:34:07","00:03:35:17","[바람 소리]
[자두와 자두 동생들의 탄성]"
"77","00:03:38:19","00:03:40:12","[비행기 엔진음]"
