No.,Timecode In,Timecode Out,Subtitle
"1","00:00:41:09","00:00:43:17","[기적이 삑삑 울린다]"
"2","00:00:52:14","00:00:53:20","[땡 소리가 난다]"
"3","00:00:53:22","00:00:56:07","[아름다운 음악이 흘러나온다]"
"4","00:01:00:02","00:01:02:12","[출입문 종이 딸랑 울린다]
[부드러운 음악]"
"5","00:01:04:01","00:01:05:03","[긴장한 신음]"
"6","00:01:07:19","00:01:09:01","[탄성]"
"7","00:01:09:03","00:01:12:00","[반짝이는 효과음]
[콩순이의 탄성]"
"8","00:01:13:23","00:01:16:14","[신난 탄성]"
"9","00:01:16:16","00:01:19:15","(콩순이) 넌 해피, 넌 토토"
"10","00:01:19:17","00:01:21:20","[콩순이의 웃음]
(콩순이 모) 아, 어떤 게
마음에 들어, 콩순아?"
"11","00:01:21:22","00:01:24:20","음, 잠깐만요, 엄마"
"12","00:01:25:10","00:01:29:04","♪ 어느 것을 고를까요 ♪"
"13","00:01:29:06","00:01:30:18","[당황한 신음]"
"14","00:01:30:20","00:01:31:19","(콩순이) 으응!"
"15","00:01:31:21","00:01:36:06","♪ 알아맞혀 보세요 ♪"
"16","00:01:36:08","00:01:38:09","[웃으며] 토토요"
"17","00:01:38:11","00:01:39:20","(콩순이 모) 그럼 계산하러 갈까?"
"18","00:01:39:22","00:01:41:06","네!"
"19","00:01:42:17","00:01:44:07","[콩순이 모가 살짝 웃는다]"
"20","00:01:44:09","00:01:46:04","[콩순이의 한숨]
어, 왜, 콩순아?"
"21","00:01:48:03","00:01:50:17","아이, 저건 다음에 사자"
"22","00:01:50:19","00:01:51:19","[콩순이의 한숨]"
"23","00:01:52:23","00:01:54:12","(콩순이 모) 콩순이는 엄마의 별
[놀란 신음]"
"24","00:01:54:14","00:01:56:20","우주만큼 사랑해"
"25","00:01:56:22","00:01:58:10","[함께 웃는다]"
"26","00:01:58:12","00:02:02:14","콩순이도 엄마를
우주만큼 사랑해요
[콩순이 모의 웃음]"
"27","00:02:02:16","00:02:04:02","(콩순이 모) 그럼 갈까?"
"28","00:02:04:04","00:02:05:05","응"
"29","00:02:05:07","00:02:07:05","어?
[웃음]"
"30","00:02:07:20","00:02:10:13","해피야, 다음에 꼭 데리러 올게"
"31","00:02:10:15","00:02:11:19","- 안녕
- (콩순이 모) 가자"
"32","00:02:13:07","00:02:15:18","[콩순이의 웃음]
(콩순이 모) 어, 콩순아, 조심해"
"33","00:02:15:20","00:02:17:19","[문이 달칵 열린다]
[출입문 종이 딸랑 울린다]"
"34","00:02:18:13","00:02:19:18","[문이 달칵 닫힌다]"
"35","00:02:21:22","00:02:23:02","[새근거린다]"
"36","00:02:23:04","00:02:24:05","[문이 달칵 열린다]
[옅은 신음]"
"37","00:02:25:04","00:02:26:13","[부드러운 음악]
(콩순이 부) 콩순아"
"38","00:02:26:15","00:02:28:02","안녕
[콩순이 모의 힘주는 신음]"
"39","00:02:28:04","00:02:29:14","[하품]"
"40","00:02:30:03","00:02:31:08","[의아한 신음]"
"41","00:02:31:10","00:02:33:13","[웃으며] 콩순이 선물 사 왔지"
"42","00:02:33:15","00:02:35:22","[콩순이의 탄성]
[콩순이 부모의 웃음]"
"43","00:02:36:00","00:02:38:08","콩순아, 안녕, 난 겁쟁이라고 해"
"44","00:02:38:10","00:02:40:06","(콩순이 모) 와, 아빠가
새 친구를 데려오셨네"
"45","00:02:40:08","00:02:41:17","(콩순이 부) 콩순아, 그렇게 좋아?"
