No.,Timecode In,Timecode Out,Subtitle
"1","00:00:35:12","00:00:40:06","“이웃집 토토로”"
"2","00:02:37:04","00:02:38:23","아빠
캐러멜 드세요"
"3","00:02:39:02","00:02:41:19","고맙다
피곤하지?"
"4","00:02:41:22","00:02:43:21","- 아뇨
- 거의 다 왔어"
"5","00:02:55:20","00:02:56:22","메이, 숨어!"
"6","00:03:02:19","00:03:04:08","경찰이 아니었어"
"7","00:03:04:10","00:03:06:00","안녕하세요!"
"8","00:03:37:03","00:03:39:19","어른은
아무도 안 계시니?"
"9","00:03:42:00","00:03:43:02","고마워"
"10","00:03:45:09","00:03:49:04","쿠사카베입니다
이사 왔습니다"
"11","00:03:50:03","00:03:52:02","잘 부탁드립니다"
"12","00:03:52:16","00:03:54:24","수고 많으셨소"
"13","00:03:59:10","00:04:00:15","고맙다"
"14","00:04:22:20","00:04:23:24","도착했다"
"15","00:04:25:13","00:04:26:20","기다려!"
"16","00:04:29:19","00:04:31:04","메이, 다리가 있어"
"17","00:04:31:06","00:04:32:07","다리?"
"18","00:04:37:10","00:04:39:18","물고기다!
저기 보이지?"
"19","00:04:40:20","00:04:42:06","맘에 드니?"
"20","00:04:45:00","00:04:47:06","너무 멋져요"
"21","00:04:47:14","00:04:48:21","나무 터널이다"
"22","00:04:52:05","00:04:53:13","저 집이다!"
"23","00:04:57:19","00:04:59:09","빨리 오세요"
"24","00:05:13:08","00:05:15:22","- 옛날 집이네
- 옛날 집!"
"25","00:05:15:24","00:05:18:07","- 도깨비집 같아
- 도깨비?"
"26","00:05:25:22","00:05:27:08","썩었구나!"
"27","00:05:39:01","00:05:40:15","쓰러진다"
"28","00:05:40:24","00:05:42:09","무너진다!"
"29","00:05:52:15","00:05:54:02","저것 좀 봐"
"30","00:05:56:18","00:05:57:17","보라고"
"31","00:06:07:05","00:06:08:18","정말 크다"
"32","00:06:14:09","00:06:16:20","아빠
아주 큰 나무예요"
"33","00:06:17:20","00:06:19:10","녹나무란다"
"34","00:06:21:13","00:06:23:18","- 녹나무!
- 녹나무!"
"35","00:06:32:17","00:06:33:13","아이코"
"36","00:06:36:17","00:06:37:17","도토리다"
"37","00:06:40:06","00:06:41:08","보여줘"
"38","00:06:42:10","00:06:43:19","또 있네"
"39","00:06:49:02","00:06:51:07","여기도!"
"40","00:06:57:10","00:06:59:19","덧문을
열 수가 없잖니"
"41","00:07:00:15","00:07:01:19","도토리!"
"42","00:07:01:21","00:07:04:03","방에 도토리가
있어요"
"43","00:07:04:06","00:07:05:13","위에서 떨어졌어요"
"44","00:07:10:07","00:07:13:01","다람쥐가 있나?"
"45","00:07:13:16","00:07:14:23","다람쥐?"
"46","00:07:15:24","00:07:17:23","도토리를 좋아하는
쥐일지도 몰라"
"47","00:07:18:24","00:07:20:14","난 다람쥐가 좋아"
"48","00:07:21:07","00:07:23:01","이거 어디 둘까요"
"49","00:07:24:01","00:07:26:03","갖고 오세요
문 열게요"
"50","00:07:26:08","00:07:28:03","사츠키
뒷문을 열어줘"
"51","00:07:28:05","00:07:29:01","네"
"52","00:07:29:03","00:07:30:15","금방 찾을 거다"
"53","00:07:33:04","00:07:34:04","따라와!"
"54","00:07:35:15","00:07:37:02","기다려!"
"55","00:07:38:19","00:07:40:06","빨리 와!"
"56","00:08:18:13","00:08:19:12","- 들어가자
- 응"
"57","00:08:32:02","00:08:33:03","목욕탕!"
"58","00:08:39:08","00:08:40:09","아무것도 없네"
"59","00:08:42:23","00:08:44:01","거긴 욕실이란다"
"60","00:08:44:04","00:08:45:24","여기 뭔가 있어요"
"61","00:08:46:01","00:08:46:24","다람쥐니?"
"62","00:08:47:01","00:08:49:04","바퀴벌레도, 쥐도 아닌"
"63","00:08:49:06","00:08:51:21","까만 것들이
가득 있었어요"
"64","00:09:05:03","00:09:06:03","뭘까요?"
"65","00:09:07:16","00:09:09:06","마쿠로 쿠로스케다"
"66","00:09:09:21","00:09:12:06","그림책에 나오는
‘마쿠로 쿠로스케’?"
"67","00:09:12:15","00:09:16:02","이런 좋은 날씨에
귀신이 나올 리 없지"
"68","00:09:21:11","00:09:23:15","밝은 데서 갑자기
어두운 곳에 가면"
"69","00:09:24:09","00:09:26:19","마쿠로 쿠로스케가
보이는 거야"
"70","00:09:27:06","00:09:28:07","그렇구나"
"71","00:09:29:00","00:09:32:05","마쿠로 쿠로스케
당장 나와라"
"72","00:09:32:08","00:09:35:10","안 나오면
눈을 쑤셔버린다"
"73","00:09:41:03","00:09:42:07","이제 일하자"
"74","00:09:42:11","00:09:45:07","2층 계단은
어딨을까요?"
"75","00:09:47:10","00:09:49:20","계단을 찾아서
2층 창을 열거라"
"76","00:09:50:12","00:09:52:24","- 네!
- 나도!"
"77","00:10:02:00","00:10:03:00","화장실!"
"78","00:10:05:15","00:10:06:14","오잉?"
"79","00:10:09:15","00:10:11:17","- 오잉?
- 오잉?"
"80","00:10:15:02","00:10:17:02","- 오잉?
- 오잉?"
"81","00:10:20:24","00:10:22:06","오잉?"
"82","00:10:24:08","00:10:27:08","- 없어
- 없네"
"83","00:10:37:08","00:10:39:06","메이, 찾았어"
"84","00:10:46:03","00:10:47:12","새까맣네"
"85","00:10:47:21","00:10:49:06","마쿠로 쿠로스케!"
"86","00:10:57:20","00:10:58:23","도토리!"
"87","00:11:05:12","00:11:08:23","마쿠로 쿠로스케
당장 나와라!"
"88","00:11:48:16","00:11:52:01","마쿠로 쿠로스케 씨
계세요?"
"89","00:12:17:24","00:12:21:20","아빠! 이 집에
뭔가 있나 봐요"
"90","00:12:22:01","00:12:23:06","그거 멋진데!"
"91","00:12:23:20","00:12:27:19","아빠는 귀신 집에
사는 게 꿈이었단다"
"92","00:12:27:23","00:12:29:12","아이코"
"93","00:12:31:02","00:12:32:04","큰일이군!"
"94","00:13:17:18","00:13:20:00","언니, 잡았어!"
"95","00:13:33:18","00:13:34:15","메이!"
"96","00:13:45:08","00:13:47:03","힘이 넘치는구나"
"97","00:13:47:11","00:13:50:10","이 집을 돌보는
이웃집 할머니야"
"98","00:13:50:13","00:13:51:21","이사를 도우러
오셨단다"
"99","00:13:52:15","00:13:54:14","전 ‘사츠키’고
동생 ‘메이’예요"
"100","00:13:54:17","00:13:55:19","처음 뵙겠습니다"
"101","00:13:56:01","00:13:58:14","그래, 안녕!"
"102","00:13:58:23","00:14:01:09","똑똑하게 생겼구나"
"103","00:14:01:12","00:14:05:06","시간이 있었으면
잘 치워 뒀을 텐데"
"104","00:14:06:01","00:14:07:18","이만하면
충분합니다"
"105","00:14:08:01","00:14:13:05","농사일하는 틈틈이
청소는 해뒀거든"
