No.,Timecode In,Timecode Out,Subtitle
"1","00:00:46:08","00:00:50:08","[기차 소리]"
"2","00:00:52:23","00:00:55:00","[기차 경적음]"
"3","00:00:55:02","00:00:58:03","[상우가 장난감을 갖고 논다]"
"4","00:00:58:05","00:01:03:13","[상우가 휘파람을 계속 분다]"
"5","00:01:05:07","00:01:07:09","[상우가 휘파람을 점점 작게 분다]"
"6","00:01:08:14","00:01:10:02","[엄마의 한숨]"
"7","00:01:11:01","00:01:12:07","귀머거리는 아니야?"
"8","00:01:12:23","00:01:14:06","그렇다니까"
"9","00:01:14:12","00:01:15:19","정말 벙어리야?"
"10","00:01:16:07","00:01:18:00","몇 번씩 물어?"
"11","00:01:18:13","00:01:21:12","그럼, 엄마처럼
잔소리는 안 하겠네"
"12","00:01:25:23","00:01:27:02","안 무서워?"
"13","00:01:27:09","00:01:28:09","응"
"14","00:01:28:18","00:01:29:18","얼마나?"
"15","00:01:30:09","00:01:31:09","응"
"16","00:01:32:02","00:01:33:12","[상우가 엄마를 툭 친다]
에이씨"
"17","00:01:40:02","00:01:43:10","[새 소리]"
"18","00:01:48:16","00:01:51:09","[버스 엔진음]"
"19","00:01:51:11","00:01:55:11","[소란스럽다]"
"20","00:02:04:12","00:02:05:17","[상우가 가방을 연다]"
"21","00:02:07:05","00:02:13:16","[게임기 소리]"
"22","00:02:17:04","00:02:20:11","[버스 엔진음]"
"23","00:02:24:01","00:02:27:06","[소란스럽다]"
"24","00:02:27:08","00:02:28:17","[상우가 바지를 턴다]"
"25","00:02:28:19","00:02:29:19","[상우가 사람을 툭 민다]"
"26","00:02:29:21","00:02:32:00","[상우가 바지를 턴다]"
"27","00:02:32:02","00:02:33:02","[상우가 사람을 툭 민다]"
"28","00:02:33:13","00:02:35:04","[상우를 엄마가 때린다]
왜 때려!"
"29","00:02:37:04","00:02:39:15","[소란스럽다]"
"30","00:02:41:08","00:02:43:18","[웃음소리]"
"31","00:02:43:20","00:02:46:01","[닭 소리]"
"32","00:02:46:03","00:02:48:12","아이고, 닭 크다!"
"33","00:02:48:14","00:02:53:08","[사람들의 환호]
[닭이 퍼덕거린다]"
"34","00:02:53:10","00:02:58:23","[버스 엔진음]
[자갈이 부딪친다]"
"35","00:03:04:23","00:03:05:23","자, 가자"
"36","00:03:06:16","00:03:09:03","[짐을 끈다]"
"37","00:03:09:05","00:03:10:05","(엄마) 빨리!"
"38","00:03:10:20","00:03:12:09","(상우) 난 여기 싫어"
"39","00:03:12:11","00:03:13:15","안 갈 거야"
"40","00:03:13:17","00:03:15:04","싫단 말이야"
"41","00:03:15:06","00:03:17:09","[상우를 퍽 때린다]
- 안 와?
- 왜 때려?"
"42","00:03:17:11","00:03:19:04","[상우가 칭얼거린다]"
"43","00:03:19:06","00:03:20:21","[상우를 퍽 때린다]
어휴, 진짜"
"44","00:03:20:23","00:03:22:14","[상우가 칭얼거린다]"
"45","00:03:22:16","00:03:24:15","[머리를 때린다]
[상우가 칭얼거린다]
으휴!"
"46","00:03:26:00","00:03:27:00","(엄마) 가!"
"47","00:03:28:07","00:03:29:07","[상우가 칭얼거린다]"
"48","00:03:29:09","00:03:33:14","[매미 소리]"
"49","00:03:40:21","00:03:42:01","(엄마) 쟤 상우"
"50","00:03:42:03","00:03:43:12","엄마 외손자예요"
"51","00:03:44:11","00:03:46:04","그동안 못 와봐서 죄송해요"
"52","00:03:46:21","00:03:48:22","저도 먹고사느라 힘들었어요"
"53","00:03:50:13","00:03:51:14","상우 애비요?"
"54","00:03:52:08","00:03:53:22","예전에 헤어졌어요"
"55","00:03:55:18","00:03:57:10","열 아홉 살 계집애가"
"56","00:03:57:12","00:03:59:04","돈 한 푼 없이 뛰쳐나가서"
"57","00:03:59:18","00:04:01:04","뭘 하고 살았겠어요?"
"58","00:04:01:16","00:04:02:16","[엄마가 훌쩍인다]"
"59","00:04:03:16","00:04:05:01","[엄마가 흐느낀다]"
"60","00:04:05:13","00:04:07:21","요샌 일자리 찾기가
너무 힘들어요"
"61","00:04:08:07","00:04:09:11","되도록 빨리 구해볼게요"
"62","00:04:11:22","00:04:13:02","가게를 하나 했었는데"
"63","00:04:13:04","00:04:15:08","남한테 넘어갔어요
빚만 지고"
"64","00:04:17:09","00:04:18:20","길어야 두 달이에요"
"65","00:04:18:22","00:04:20:09","자리 잡는 대로 데려갈게요"
"66","00:04:21:02","00:04:22:07","저 애"
"67","00:04:22:09","00:04:24:08","혼자 지내버릇해서
손이 많이 안 갈 거예요"
"68","00:04:29:23","00:04:31:07","(엄마) 상우야 인사드려"
"69","00:04:31:09","00:04:32:13","외할머니셔"
"70","00:04:32:21","00:04:33:22","(상우) 그게 뭔데?"
