No.,Timecode In,Timecode Out,Subtitle
"1","00:00:19:18","00:00:25:13","“추억은 방울방울”"
"2","00:02:13:14","00:02:17:21","휴가를 열흘이나 내길래
해외여행 가는 줄 알았지"
"3","00:02:18:03","00:02:20:21","야마가타에 있는
시골에 간다고?"
"4","00:02:20:23","00:02:21:23","네"
"5","00:02:22:00","00:02:23:06","실연당한 거야?"
"6","00:02:25:15","00:02:27:04","시골을 동경하고 있었거든요"
"7","00:02:27:06","00:02:28:22","- 또 만나
- 잘 가"
"8","00:02:28:24","00:02:31:03","- 너희 집 가자
- 싫어"
"9","00:02:31:05","00:02:33:00","- 왜?
- 그냥"
"10","00:02:33:21","00:02:35:22","성적 올랐니?"
"11","00:02:36:04","00:02:37:06","아니"
"12","00:02:38:06","00:02:39:04","근데 걱정 없어"
"13","00:02:39:07","00:02:40:02","어째서?"
"14","00:02:40:05","00:02:43:10","오늘 바로
시골 할머니 댁 가거든"
"15","00:02:43:12","00:02:45:19","꾸중 듣는 건 한참 나중이야"
"16","00:02:45:21","00:02:47:12","좋겠다"
"17","00:02:47:14","00:02:49:02","너도 시골에 가?"
"18","00:02:49:04","00:02:50:14","응, 나가노에 가"
"19","00:02:50:16","00:02:52:01","타에코는?"
"20","00:02:52:03","00:02:52:24","모르겠어"
"21","00:02:53:08","00:02:55:16","우리 아빠는 별장을 샀어!"
"22","00:02:56:00","00:02:57:11","굉장한걸!"
"23","00:02:59:12","00:03:02:08","역시 산수 성적이 안 좋구나"
"24","00:03:03:24","00:03:05:17","그렇지만 실과는 우 받았어"
"25","00:03:06:12","00:03:09:02","방학 때 어디 갈 거야?"
"26","00:03:09:04","00:03:10:04","아니"
"27","00:03:10:22","00:03:13:00","어디 좀 놀러 가"
"28","00:03:13:23","00:03:15:19","영화관에 데려갈게"
"29","00:03:16:06","00:03:18:11","'두루미의 보은' 보여 줄게"
"30","00:03:18:13","00:03:21:14","그런 데 말고 시골에 가"
"31","00:03:21:16","00:03:22:14","시골?"
"32","00:03:22:16","00:03:25:00","시골의 할머니 댁 같은 곳"
"33","00:03:25:03","00:03:26:15","할머니는 우리 집에 계시잖아"
"34","00:03:26:17","00:03:28:18","- 할아버지!
- 돌아가셨잖니"
"35","00:03:29:05","00:03:30:18","우린 갈 시골이 없단다"
"36","00:03:30:20","00:03:32:17","없는 걸 조르진 말아 주렴"
"37","00:03:37:10","00:03:40:24","난 부모님 세대부터
모두 도쿄 토박이라"
"38","00:03:41:10","00:03:44:05","시골집이 있는 친구들이
부러웠다"
"39","00:03:47:12","00:03:50:12","성수기라 복잡해서
여행 같은 건 못 가"
"40","00:03:51:01","00:03:52:11","그래도 가고 싶어"
