No.,Timecode In,Timecode Out,Subtitle
"1","00:00:19:01","00:00:20:17","[학교 종이 울린다]"
"2","00:00:20:19","00:00:22:17","- (학생1) 리사
- (학생2) 리사, 잘 가"
"3","00:00:22:23","00:00:24:08","그래, 너희도
[신호총이 탕 울린다]"
"4","00:00:24:11","00:00:25:06","[리사의 놀란 신음]"
"5","00:00:25:08","00:00:29:05","[육상부원들의 가쁜 숨소리]"
"6","00:00:29:23","00:00:30:20","[리사의 옅은 숨소리]"
"7","00:00:34:06","00:00:35:19","[새가 짹짹 지저귄다]"
"8","00:00:38:20","00:00:40:17","[노크 소리가 들린다]
(리쿠)
네"
"9","00:00:42:10","00:00:43:18","아, 누나 왔어?"
"10","00:00:46:04","00:00:47:15","(리사)
이거, 갈아입을 옷"
"11","00:00:47:23","00:00:49:15","리쿠, 다리는 어때?"
"12","00:00:49:18","00:00:52:02","(리쿠)
심하게 움직이지만 않으면 이제 괜찮아"
"13","00:00:52:07","00:00:53:20","[리사의 놀란 신음]
[리쿠의 아파하는 신음]"
"14","00:00:53:22","00:00:54:20","(리사)
하여간..."
"15","00:00:55:00","00:00:57:18","- (리사) 제발 조심 좀 해
- (리쿠) 누나야말로 어때?"
"16","00:00:58:06","00:01:00:08","다리, 이제 달릴 수 있어?"
"17","00:01:00:22","00:01:03:05","(리사)
지금 내 걱정할 때가 아닐 텐데?"
"18","00:01:03:07","00:01:04:05","(리쿠)
알았어"
"19","00:01:04:07","00:01:05:11","참, 그렇지"
"20","00:01:05:13","00:01:07:15","후우라시티에서 열리는
바람 축제 알아?"
"21","00:01:08:00","00:01:09:14","(리사)
그래, 들어 봤어"
"22","00:01:09:16","00:01:11:22","그 바람 축제 규모가 꽤 크다던데?"
"23","00:01:11:24","00:01:14:05","(리쿠)
맞아, 그래서 말이야"
"24","00:01:14:11","00:01:16:11","누나한테 좀 부탁할 게 있는데..."
"25","00:01:17:02","00:01:17:24","[리사의 의아한 신음]"
"26","00:01:18:10","00:01:19:07","[문이 달칵 열린다]"
"27","00:01:19:09","00:01:20:19","(리사)
다녀왔습니다"
