No.,Timecode In,Timecode Out,Subtitle
"1","00:01:12:04","00:01:17:21","“하울의 움직이는 성”"
"2","00:01:45:19","00:01:46:16","소피 아가씨"
"3","00:01:47:16","00:01:49:00","오늘은 이만
가게 문 닫으려고요"
"4","00:01:49:10","00:01:51:16","우리랑 같이 가면
좋을 텐데요"
"5","00:01:51:24","00:01:54:17","하던 거 끝낼게요
재밌게 노세요"
"6","00:01:55:07","00:01:56:20","그럼 다녀올게요"
"7","00:01:58:01","00:01:59:12","- 얘들아, 가자
- 같이 가요!"
"8","00:01:59:14","00:02:00:10","이 옷 이상해?"
"9","00:02:00:12","00:02:02:13","저기 좀 봐!
하울의 성이야"
"10","00:02:02:15","00:02:04:03","- 정말?
- 어딨어?"
"11","00:02:04:05","00:02:06:02","아주 가까이 있어"
"12","00:02:06:17","00:02:08:05","무섭다"
"13","00:02:08:07","00:02:10:04","하울이
우리 마을에 온 거야?"
"14","00:02:18:14","00:02:19:13","도망가네"
"15","00:02:19:15","00:02:22:07","군대가 쫓아와서
잠시 숨은 것뿐이야"
"16","00:02:22:09","00:02:25:00","아랫동네
마사라는 여자애는"
"17","00:02:25:02","00:02:27:10","하울한테 심장을
먹혀버렸대"
"18","00:02:27:13","00:02:28:13","무서워"
"19","00:02:28:15","00:02:30:19","넌 괜찮아
예쁜 애들만 노린대"
"20","00:02:32:24","00:02:34:20","빨리 가자"
"21","00:02:35:15","00:02:37:02","예쁜 것도 죄야"
"22","00:02:37:13","00:02:39:22","그만 좀 해"
"23","00:03:27:10","00:03:29:13","“해터스 모자 가게”"
"24","00:03:41:05","00:03:43:22","“A∙A 맥주”"
"25","00:04:40:12","00:04:43:01","꼬마 아가씨
뭘 찾는 거니?"
"26","00:04:43:16","00:04:45:06","아무것도 아니에요"
"27","00:04:45:22","00:04:47:15","차라도 한잔할래?"
"28","00:04:48:04","00:04:49:03","같이 놀자고"
"29","00:04:49:17","00:04:51:03","안 돼요
좀 바빠요"
"30","00:04:51:05","00:04:53:19","엄청 귀엽게 생겼네"
"31","00:04:53:21","00:04:56:00","몇 살이니?
이 마을에 살아?"
"32","00:04:56:20","00:04:57:22","비켜주세요!"
"33","00:04:58:13","00:05:01:12","네 콧수염이 무서워서
겁내잖아"
"34","00:05:01:14","00:05:03:24","화내는 것도 귀여워"
"35","00:05:04:01","00:05:05:09","미안, 여기 있었네"
"36","00:05:06:17","00:05:07:19","한참 찾았잖아"
"37","00:05:08:10","00:05:09:07","넌 뭐야?"
"38","00:05:09:09","00:05:10:15","보호자야"
"39","00:05:10:23","00:05:13:11","너희는 산책이나 하고 와"
"40","00:05:16:04","00:05:17:04","뭐야?"
"41","00:05:17:06","00:05:21:05","우리가 왜 이러지?"
"42","00:05:21:08","00:05:22:10","긴장 풀어"
"43","00:05:23:07","00:05:24:16","나쁜 사람들은 아니야"
"44","00:05:25:04","00:05:28:08","어디 가니?
내가 데려다줄게"
